no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
2000,12.165,0.208498023715415,0.008893280632411068,1012,211,9,1.318448543548584
40000,12.162,0.2031905961376994,0.009760705289672544,19056,3872,186,18.74243187904358
30000,12.155,0.19951485748938752,0.009972373829256788,14841,2961,148,14.093087434768677
22000,12.161,0.20497512437810944,0.01076436001809136,11055,2266,119,10.477669715881348
8000,12.157,0.20084724644904062,0.01171193620732619,4013,806,47,4.049642086029053
40000,12.158,0.19708029197080293,0.009189728509163473,19043,3753,175,18.740444898605347
2000,12.159,0.20989917506874428,0.008249312557286892,1091,229,9,1.3211328983306885
12000,12.163,0.20115332428765265,0.011872455902306648,5896,1186,70,5.870431423187256
15000,12.165,0.19593023255813954,0.010465116279069767,6880,1348,72,7.219090938568115
60000,12.161,0.2015141635876259,0.009309570383250018,27606,5563,257,27.96391534805298
60000,12.157,0.20353982300884957,0.0095779161659201,27459,5589,263,28.016297817230225
3000,12.162,0.180625,0.010625,1600,289,17,1.755413293838501
2000,12.161,0.20889748549323017,0.008704061895551257,1034,216,9,1.2902939319610596
60000,12.157,0.2024896574857441,0.00987663523536208,26831,5433,265,28.036782264709473
12000,12.162,0.20519761775852735,0.01028695181375203,5541,1137,57,5.876117467880249
10000,12.159,0.20255147717099373,0.008057296329453895,4468,905,36,4.904758930206299
4000,12.163,0.22094298245614036,0.010416666666666666,1824,403,19,2.1601202487945557
10000,12.159,0.2035341707472855,0.00894187779433681,4697,956,42,4.978171348571777
30000,12.161,0.2040063638993347,0.00947353196413075,13828,2821,131,14.176896095275879
4000,12.157,0.2038404726735598,0.011816838995568686,2031,414,24,2.199171781539917
12000,12.159,0.21048065243796635,0.010411244143675169,5763,1213,60,5.895929574966431
1500,12.157,0.1755424063116371,0.009861932938856016,507,89,5,1.1216230392456055
6000,12.155,0.20385395537525355,0.0074374577417173765,2958,603,22,3.12113881111145
10000,12.158,0.20042735042735044,0.01047008547008547,4680,938,49,4.9196226596832275
4000,12.158,0.21554959785522787,0.0096514745308311,1865,402,18,2.214244842529297
2000,12.155,0.16602316602316602,0.007722007722007722,1036,172,8,1.3351008892059326
6000,12.154,0.19718792866941015,0.009945130315500686,2916,575,29,3.1244142055511475
12000,12.156,0.19810288215979568,0.010215249908792412,5482,1086,56,5.828205347061157
22000,12.151,0.19810213265505772,0.009880649579338681,10222,2025,101,10.471968412399292
1000,12.156,0.22245322245322247,0.010395010395010396,481,107,5,0.8178961277008057
22000,12.155,0.19756580809510332,0.007925275969431078,10599,2094,84,10.461488485336304
22000,12.16,0.19759466315888377,0.009865639387390773,10643,2103,105,10.500523805618286
3000,12.158,0.1981191222570533,0.00877742946708464,1595,316,14,1.7310283184051514
1500,12.163,0.19348659003831417,0.009578544061302681,522,101,5,1.1005923748016357
12000,12.155,0.19798713083649563,0.006599571027883187,6061,1200,40,5.888546705245972
10000,12.163,0.18808080808080807,0.009292929292929294,4950,931,46,4.903962850570679
4000,12.156,0.19950495049504952,0.009900990099009901,2020,403,20,2.20522403717041
22000,12.159,0.20432991665868377,0.009962640099626401,10439,2133,104,10.425995826721191
10000,12.155,0.19492219492219492,0.009213759213759214,4884,952,45,4.9762163162231445
3000,12.156,0.1824583866837388,0.011523687580025609,1562,285,18,1.7139177322387695
3000,12.158,0.1977401129943503,0.011927181418706842,1593,315,19,1.7962675094604492
10000,12.159,0.20772169716468933,0.009249949728534084,4973,1033,46,4.930938005447388
22000,12.158,0.20696419813634134,0.008925944090240313,10195,2110,91,10.482041835784912
1000,12.163,0.1833976833976834,0.005791505791505791,518,95,3,0.8512749671936035
40000,12.158,0.2066465256797583,0.010876132930513595,18205,3762,198,18.76002597808838
30000,12.158,0.19569093610698365,0.009212481426448737,13460,2634,124,14.156503677368164
40000,12.159,0.1986661606029388,0.009814021580003253,18443,3664,181,18.736130237579346
15000,12.158,0.20753905690124697,0.009746309301992261,6977,1448,68,7.279840469360352
30000,12.155,0.20421006944444445,0.010344328703703705,13824,2823,143,14.157187461853027
10000,12.16,0.19750816993464052,0.00980392156862745,4896,967,48,4.904256820678711
22000,12.163,0.20226695329294508,0.010455344928669142,10234,2070,107,10.496457576751709
15000,12.158,0.19087651598676958,0.008682469680264608,7256,1385,63,7.238083124160767
1000,12.158,0.1895551257253385,0.007736943907156673,517,98,4,0.8928127288818359
1500,12.158,0.1978984238178634,0.0035026269702276708,571,113,2,1.011972188949585
60000,12.158,0.20379060048390643,0.009751448053376348,27278,5559,266,28.011895179748535
6000,12.155,0.21403508771929824,0.009122807017543859,2850,610,26,3.1301229000091553
60000,12.155,0.19868272624722536,0.011025799643389978,27481,5460,303,28.055508613586426
6000,12.154,0.18927754168028768,0.007518796992481203,3059,579,23,3.146502733230591
6000,12.155,0.19318557724115118,0.009262322196493549,3023,584,28,3.1011874675750732
8000,12.155,0.21377183967112023,0.009506680369989723,3892,832,37,4.127116441726685
4000,12.155,0.20687960687960688,0.007371007371007371,2035,421,15,2.3023407459259033
3000,12.155,0.19508958195089582,0.011944260119442602,1507,294,18,1.7430150508880615
15000,12.156,0.20391469471224072,0.011101373064563248,6846,1396,76,7.241925954818726
1500,12.156,0.19626168224299065,0.005607476635514018,535,105,3,1.1078886985778809
1000,12.159,0.1806020066889632,0.010033444816053512,598,108,6,0.8411674499511719
2000,12.159,0.20829493087557605,0.013824884792626729,1085,226,15,1.2330827713012695
30000,12.155,0.20413958006426064,0.010162146006127176,13383,2732,136,14.172170162200928
6000,12.153,0.19801980198019803,0.007920792079207921,3030,600,24,3.1863484382629395
22000,12.158,0.19663452448477972,0.010115333711476649,10578,2080,107,10.487370729446411
1500,12.159,0.19423076923076923,0.0038461538461538464,520,101,2,1.0213651657104492
2000,12.159,0.19807692307692307,0.011538461538461539,1040,206,12,1.283813714981079
60000,12.158,0.19749910682386568,0.009217577706323686,27990,5528,258,28.119489908218384
1000,12.155,0.18689788053949905,0.007707129094412331,519,97,4,0.7784585952758789
12000,12.158,0.1965534891656714,0.009725302849343115,5861,1152,57,5.821418762207031
2000,12.159,0.1937269372693727,0.012915129151291513,1084,210,14,1.3182957172393799
1000,12.159,0.22262773722627738,0.0072992700729927005,548,122,4,0.892249345779419
40000,12.156,0.20264864864864865,0.01027027027027027,18500,3749,190,18.78987717628479
10000,12.153,0.202009405728944,0.009191962377084225,4678,945,43,4.944567441940308
1000,12.158,0.19427402862985685,0.00408997955010225,489,95,2,0.8572969436645508
4000,12.155,0.2226113056528264,0.01200600300150075,1999,445,24,2.2588706016540527
1500,12.154,0.188911704312115,0.01026694045174538,487,92,5,1.04221510887146
30000,12.153,0.20037602140429533,0.009328223298864704,13829,2771,129,14.147786855697632
2000,12.158,0.2099125364431487,0.01652089407191448,1029,216,17,1.3152685165405273
40000,12.155,0.19748305905130686,0.009411638162848231,18594,3672,175,18.714093923568726
8000,12.158,0.18157248157248157,0.007125307125307125,4070,739,29,4.075634241104126
15000,12.15,0.20031365839749074,0.010978043912175649,7014,1405,77,7.269061326980591
40000,12.158,0.19667409379925005,0.009619042443345471,18401,3619,177,18.809088706970215
60000,12.155,0.19941106761949223,0.009803569504794054,27847,5553,273,27.966352462768555
12000,12.153,0.20299391347261062,0.01167955255798651,6079,1234,71,5.8552610874176025
1500,12.154,0.2113970588235294,0.001838235294117647,544,115,1,1.069446325302124
1000,12.155,0.20067453625632378,0.006745362563237774,593,119,4,0.8382208347320557
30000,12.151,0.2037551684403172,0.010031857927201248,14753,3006,148,14.152488231658936
3000,12.154,0.2176360225140713,0.013133208255159476,1599,348,21,1.7475941181182861
30000,12.155,0.198577151540268,0.01001519546898743,14478,2875,145,14.113978385925293
30000,12.16,0.2016463800745796,0.009287272215577288,14213,2866,132,14.245553255081177
3000,12.154,0.20162381596752368,0.008119079837618403,1478,298,12,1.69535231590271
1500,12.155,0.22920517560073936,0.0073937153419593345,541,124,4,1.0601298809051514
22000,12.158,0.2103430619559652,0.009831029185867896,9765,2054,96,10.413140535354614
6000,12.153,0.20669014084507042,0.010211267605633803,2840,587,29,3.1985526084899902
8000,12.155,0.18756756756756757,0.008378378378378378,3700,694,31,4.046222448348999
60000,12.155,0.20374038241791728,0.010131789441608897,26254,5349,266,28.002877712249756
