"Freq [GHz]","mag(St(feedline_T1,feedline_T1)) []","mag(St(feedline_T2,feedline_T1)) []"
1.61842857142857,0.0694499348446665,0.982796028305718
1.61857142857143,0.0695901570821741,0.982784280728763
1.61871428571429,0.0697304003396186,0.982772508615653
1.61885714285714,0.0698706646315834,0.982760711942123
1.619,0.0700109499730122,0.982748890683796
1.61914285714286,0.0701512563792119,0.982737044816188
1.61928571428571,0.0702915838658506,0.982725174314706
1.61942857142857,0.0704319324489592,0.982713279154643
1.61957142857143,0.0705723021449286,0.982701359311185
1.61971428571429,0.0707126929705134,0.9826894147594
1.61985714285714,0.0708531049428292,0.982677445474246
1.62,0.0709935380793533,0.98266545143057
1.62014285714286,0.071133992397925,0.982653432603099
1.62028571428571,0.0712744679167465,0.982641388966449
1.62042857142857,0.0714149646543808,0.982629320495117
1.62057142857143,0.0715554826297543,0.982617227163487
1.62071428571429,0.0716960218621555,0.982605108945821
1.62085714285714,0.0718365823712357,0.982592965816266
1.621,0.071977164177009,0.982580797748849
1.62114285714286,0.0721177672998525,0.982568604717475
1.62128571428571,0.0722583917605075,0.982556386695932
1.62142857142857,0.0723990375800773,0.982544143657885
1.62157142857143,0.072539704780031,0.982531875576874
1.62171428571429,0.0726803933822009,0.982519582426322
1.62185714285714,0.0728211034087844,0.98250726417952
1.622,0.0729618348823435,0.982494920809642
1.62214285714286,0.0731025878258062,0.982482552289732
1.62228571428571,0.0732433622624661,0.982470158592708
1.62242857142857,0.0733841582159828,0.982457739691362
1.62257142857143,0.0735249757103826,0.982445295558357
1.62271428571429,0.0736658147700599,0.982432826166228
1.62285714285714,0.0738066754197753,0.982420331487379
1.623,0.0739475576846591,0.982407811494083
1.62314285714286,0.0740884615902095,0.982395266158484
1.62328571428571,0.0742293871622945,0.98238269545259
1.62342857142857,0.0743703344271514,0.982370099348279
1.62357142857143,0.074511303411389,0.982357477817292
1.62371428571429,0.0746522941419866,0.982344830831238
1.62385714285714,0.0747933066462955,0.982332158361586
1.624,0.0749343409520395,0.982319460379671
1.62414285714286,0.0750753970873156,0.982306736856689
1.62428571428571,0.0752164750805949,0.982293987763699
1.62442857142857,0.0753575749607227,0.982281213071617
1.62457142857143,0.0754986967569202,0.982268412751221
1.62471428571429,0.0756398404987851,0.982255586773146
1.62485714285714,0.0757810062162917,0.982242735107886
1.625,0.0759221939397911,0.982229857725788
1.62514285714286,0.0760634037000151,0.982216954597059
1.62528571428571,0.0762046355280739,0.982204025691758
1.62542857142857,0.0763458894554577,0.982191070979797
1.62557142857143,0.0764871655140393,0.982178090430943
1.62571428571429,0.0766284637360728,0.982165084014811
1.62585714285714,0.0767697841541966,0.98215205170087
1.626,0.0769111268014315,0.982138993458436
1.62614285714286,0.077052491711185,0.982125909256675
1.62628571428571,0.0771938789172509,0.9821127990646
1.62642857142857,0.0773352884538089,0.982099662851069
1.62657142857143,0.0774767203554281,0.982086500584788
1.62671428571429,0.0776181746570673,0.982073312234306
1.62685714285714,0.077759651394075,0.982060097768014
1.627,0.0779011506021911,0.982046857154148
1.62714285714286,0.0780426723175486,0.982033590360782
1.62728571428571,0.0781842165766757,0.982020297355832
1.62742857142857,0.0783257834164933,0.982006978107053
1.62757142857143,0.0784673728743202,0.981993632582037
1.62771428571429,0.0786089849878724,0.981980260748211
1.62785714285714,0.0787506197952651,0.981966862572841
1.628,0.0788922773350125,0.981953438023026
1.62814285714286,0.0790339576460308,0.981939987065697
1.62828571428571,0.0791756607676394,0.98192650966762
1.62842857142857,0.0793173867395605,0.981913005795388
1.62857142857143,0.0794591356019225,0.981899475415427
1.62871428571429,0.0796009073952605,0.981885918493991
1.62885714285714,0.0797427021605174,0.98187233499716
1.629,0.0798845199390456,0.981858724890842
1.62914285714286,0.0800263607726088,0.981845088140771
1.62928571428571,0.0801682247033834,0.9818314247125
1.62942857142857,0.0803101117739591,0.98181773457141
1.62957142857143,0.0804520220273412,0.981804017682701
1.62971428571429,0.0805939555069525,0.981790274011393
1.62985714285714,0.080735912256634,0.981776503522324
1.63,0.0808778923206463,0.981762706180153
1.63014285714286,0.0810198957436725,0.981748881949352
1.63028571428571,0.0811619225708189,0.98173503079421
1.63042857142857,0.0813039728476162,0.981721152678828
1.63057142857143,0.0814460466200226,0.98170724756712
1.63071428571429,0.0815881439344238,0.981693315422814
1.63085714285714,0.0817302648376362,0.981679356209444
1.631,0.0818724093769073,0.981665369890353
1.63114285714286,0.0820145775999186,0.981651356428694
1.63128571428571,0.0821567695547865,0.981637315787422
1.63142857142857,0.0822989852900653,0.9816232479293
1.63157142857143,0.0824412248547469,0.981609152816892
1.63171428571429,0.082583488298265,0.981595030412564
1.63185714285714,0.0827257756704959,0.981580880678481
1.632,0.0828680870217596,0.981566703576611
1.63214285714286,0.0830104224028231,0.981552499068713
1.63228571428571,0.0831527818649026,0.98153826711635
1.63242857142857,0.0832951654596623,0.981524007680871
1.63257142857143,0.0834375732392206,0.981509720723424
1.63271428571429,0.0835800052561503,0.981495406204947
1.63285714285714,0.0837224615634797,0.981481064086168
1.633,0.0838649422146954,0.981466694327604
1.63314285714286,0.0840074472637454,0.981452296889557
1.63328571428571,0.0841499767650396,0.981437871732119
1.63342857142857,0.0842925307734528,0.981423418815162
1.63357142857143,0.0844351093443266,0.981408938098342
1.63371428571429,0.0845777125334717,0.981394429541098
1.63385714285714,0.0847203403971704,0.981379893102645
1.634,0.0848629929921775,0.981365328741977
1.63414285714286,0.0850056703757249,0.981350736417866
1.63428571428571,0.0851483726055217,0.981336116088857
1.63442857142857,0.085291099739757,0.981321467713267
1.63457142857143,0.0854338518371028,0.981306791249188
1.63471428571429,0.0855766289567169,0.98129208665448
1.63485714285714,0.0857194311582437,0.981277353886767
1.635,0.0858622585018172,0.981262592903447
1.63514285714286,0.086005111048064,0.981247803661677
1.63528571428571,0.0861479888581052,0.98123298611838
1.63542857142857,0.0862908919935588,0.981218140230238
1.63557142857143,0.0864338205165434,0.981203265953695
1.63571428571429,0.0865767744896784,0.981188363244952
1.63585714285714,0.0867197539760897,0.981173432059964
1.636,0.0868627590394084,0.981158472354445
1.63614285714286,0.0870057897437774,0.981143484083856
1.63628571428571,0.0871488461538511,0.981128467203413
1.63642857142857,0.0872919283347993,0.98111342166808
1.63657142857143,0.0874350363523107,0.981098347432566
1.63671428571429,0.0875781702725936,0.981083244451328
1.63685714285714,0.0877213301623802,0.981068112678564
1.637,0.0878645160889289,0.981052952068216
1.63714285714286,0.0880077281200266,0.981037762573963
1.63728571428571,0.0881509663239937,0.981022544149224
1.63742857142857,0.088294230769683,0.981007296747153
1.63757142857143,0.0884375215264866,0.980992020320637
1.63771428571429,0.0885808386643368,0.980976714822295
1.63785714285714,0.0887241822537095,0.980961380204478
1.638,0.0888675523656264,0.980946016419262
1.63814285714286,0.0890109490716596,0.980930623418451
1.63828571428571,0.0891543724439335,0.980915201153571
1.63842857142857,0.0892978225551275,0.980899749575873
