"Freq [GHz]","dB(St(feedline_T1,feedline_T1)) []"
1.65471428571429,-19.5062149861375
1.65485714285714,-19.4941455981127
1.655,-19.48208968011
1.65514285714286,-19.4700471854755
1.65528571428571,-19.4580180676532
1.65542857142857,-19.4460022801842
1.65557142857143,-19.4339997767053
1.65571428571429,-19.4220105109477
1.65585714285714,-19.4100344367364
1.656,-19.3980715079885
1.65614285714286,-19.3861216787126
1.65628571428571,-19.3741849030069
1.65642857142857,-19.3622611350588
1.65657142857143,-19.3503503291437
1.65671428571429,-19.3384524396231
1.65685714285714,-19.3265674209443
1.657,-19.3146952276391
1.65714285714286,-19.3028358143224
1.65728571428571,-19.290989135691
1.65742857142857,-19.2791551465229
1.65757142857143,-19.2673338016758
1.65771428571429,-19.2555250560863
1.65785714285714,-19.2437288647682
1.658,-19.2319451828119
1.65814285714286,-19.2201739653832
1.65828571428571,-19.2084151677218
1.65842857142857,-19.1966687451406
1.65857142857143,-19.1849346530242
1.65871428571429,-19.173212846828
1.65885714285714,-19.1615032820772
1.659,-19.1498059143651
1.65914285714286,-19.1381206993526
1.65928571428571,-19.1264475927667
1.65942857142857,-19.1147865503994
1.65957142857143,-19.1031375281066
1.65971428571429,-19.0915004818069
1.65985714285714,-19.0798753674808
1.66,-19.068262141169
1.66014285714286,-19.0566607589716
1.66028571428571,-19.0450711770469
1.66042857142857,-19.0334933516102
1.66057142857143,-19.0219272389327
1.66071428571429,-19.0103727953405
1.66085714285714,-18.998829977213
1.661,-18.9872987409821
1.66114285714286,-18.9757790431313
1.66128571428571,-18.9642708401937
1.66142857142857,-18.9527740887518
1.66157142857143,-18.9412887454356
1.66171428571429,-18.9298147669218
1.66185714285714,-18.9183521099328
1.662,-18.9069007312351
1.66214285714286,-18.8954605876382
1.66228571428571,-18.8840316359937
1.66242857142857,-18.8726138331942
1.66257142857143,-18.8612071361715
1.66271428571429,-18.849811501896
1.66285714285714,-18.8384268873754
1.663,-18.8270532496535
1.66314285714286,-18.8156905458087
1.66328571428571,-18.8043387329533
1.66342857142857,-18.7929977682321
1.66357142857143,-18.7816676088209
1.66371428571429,-18.7703482119258
1.66385714285714,-18.7590395347818
1.664,-18.7477415346514
1.66414285714286,-18.7364541688236
1.66428571428571,-18.7251773946127
1.66442857142857,-18.7139111693568
1.66457142857143,-18.7026554504171
1.66471428571429,-18.691410195176
1.66485714285714,-18.6801753610365
1.665,-18.6689509054204
1.66514285714286,-18.6577367857676
1.66528571428571,-18.6465329595344
1.66542857142857,-18.6353393841926
1.66557142857143,-18.6241560172278
1.66571428571429,-18.6129828161388
1.66585714285714,-18.6018197384355
1.666,-18.5906667416386
1.66614285714286,-18.5795237832774
1.66628571428571,-18.568390820889
1.66642857142857,-18.557267812017
1.66657142857143,-18.5461547142101
1.66671428571429,-18.535051485021
1.66685714285714,-18.5239580820047
1.667,-18.5128744627174
1.66714285714286,-18.5018005847156
