U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-0.13,91,0.11347517730496454,0.0,7050,800,0,4.799129009246826,12.109
-0.14,81,0.10346332945285215,0.0,6872,711,0,4.790573596954346,12.11
-0.16,54,0.10414500074283167,0.0,6731,701,0,4.772596120834351,12.11
-0.15,42,0.11829916476841305,0.0,6585,779,0,4.855878829956055,12.111
-0.13,185,0.11717085641244142,0.0,7041,825,0,4.847436904907227,12.11
-0.17,22,0.11787012166218992,0.0,6329,746,0,4.897270679473877,12.103
-0.15,60,0.10645257210823669,0.0,6726,716,0,4.78159761428833,12.103
-0.16,119,0.1197641010131559,0.0,6613,792,0,4.7987120151519775,12.107
-0.17,146,0.1155058304443744,0.0,6346,733,0,4.797096014022827,12.107
-0.18,55,0.10476797958858236,0.0,6271,657,0,4.894388914108276,12.103
-0.17,52,0.11239771499150841,0.0,6477,728,0,4.87540602684021,12.099
-0.18,173,0.11195133979944107,0.0,6083,681,0,4.787264585494995,12.107
-0.15,131,0.11283219438116933,0.0,6585,743,0,4.814399719238281,12.107
-0.13,176,0.12178189181371131,0.0,6914,842,0,4.798029661178589,12.104
-0.13,26,0.10092923516797712,0.0,6995,706,0,4.797889232635498,12.104
-0.17,182,0.11659764256132527,0.0,6278,732,0,4.784314870834351,12.106
-0.13,50,0.09760956175298804,0.0,7028,686,0,4.831850051879883,12.106
-0.16,172,0.12396435829294981,0.0,6397,793,0,4.8566367626190186,12.102
-0.18,12,0.11243472584856397,0.0,6128,689,0,4.81352424621582,12.104
-0.13,163,0.11428984250830805,0.0,6921,791,0,4.797560930252075,12.099
-0.15,62,0.0897475369458128,0.0,6496,583,0,4.784515857696533,12.103
-0.16,33,0.08578125,0.0,6400,549,0,4.815127611160278,12.103
-0.14,158,0.12155519141963354,0.0,6713,816,0,4.889540433883667,12.1
-0.15,194,0.11708717328901647,0.0,6619,775,0,4.837242126464844,12.106
-0.18,85,0.10645894190197988,0.0,6162,656,0,4.789100408554077,12.1
-0.16,155,0.11104256631708821,0.0,6484,720,0,4.828189849853516,12.103
-0.13,159,0.11417780360255665,0.0,6884,786,0,4.87483024597168,12.107
-0.14,66,0.042704111175448756,0.0,6908,295,0,4.788967132568359,12.104
-0.17,70,0.09966134494436381,0.0,6201,618,0,4.821027994155884,12.104
-0.13,48,0.09180708890180128,0.0,6884,632,0,4.821707248687744,12.104
-0.15,115,0.12046084293422779,0.0,6857,826,0,4.82125449180603,12.104
-0.18,84,0.09817716661336745,0.0,6254,614,0,4.841963291168213,12.104
-0.15,137,0.12364392926140585,0.0,6729,832,0,4.789698839187622,12.102
-0.13,51,0.10093696763202725,0.0,7044,711,0,4.815954685211182,12.106
-0.15,121,0.11946570613837611,0.0,6663,796,0,4.903808355331421,12.107
-0.16,187,0.11708428246013668,0.0,6585,771,0,4.792115211486816,12.103
-0.15,184,0.1262581409117821,0.0,6756,853,0,4.835989952087402,12.111
-0.18,17,0.11647412565279316,0.0,6319,736,0,4.841322660446167,12.103
