timestamp,RF_amplitude,method,n_sigma,split_x,left_points,right_points,peaks_total,peaks_left,peaks_right,combined_baseline_points,error
20260307_033603,3.0,iterative_2.0,1.0,83.5,128,113,9,4,5,133,
20260228_224123,3.6,iterative_2.0,1.0,75.5,112,129,10,4,6,168,
20260305_002326,3.6,iterative_2.0,1.0,87.0,135,106,16,10,6,141,
20260305_140338,3.6,iterative_2.0,1.0,87.0,135,106,9,5,4,133,
20260305_171134,3.6,iterative_2.0,1.0,96.0,153,88,11,5,5,153,
20260306_170850,3.6,iterative_2.0,1.0,86.0,133,108,12,6,6,128,
20260301_024050,4.3,iterative_2.0,1.0,92.5,146,95,11,6,5,153,
20260304_192109,4.3,iterative_2.0,1.0,90.5,142,99,14,9,5,142,
20260306_212322,4.3,iterative_2.0,1.0,90.5,142,99,13,7,6,135,
20260306_232551,4.3,iterative_2.0,1.0,38.5,38,203,14,4,10,135,
20260228_214115,5.0,iterative_2.0,1.0,80.5,122,119,11,6,5,167,
20260301_063442,5.0,iterative_2.0,1.0,93.0,147,94,9,7,2,153,
20260301_221132,5.0,iterative_2.0,1.0,94.5,150,91,7,6,1,156,
20260302_122008,5.0,iterative_2.0,1.0,94.5,150,91,7,4,3,159,
20260302_172124,5.0,iterative_2.0,1.0,93.0,147,94,9,6,3,163,
20260304_202210,5.0,iterative_2.0,1.0,94.0,149,92,12,8,4,154,
20260228_204102,6.0,iterative_2.0,1.0,97.5,156,85,11,6,4,168,
20260305_094000,6.0,iterative_2.0,1.0,96.0,153,88,11,8,3,145,
20260307_002532,6.0,iterative_2.0,1.0,59.5,80,161,12,5,7,155,
20260307_012920,6.0,iterative_2.0,1.0,98.0,157,84,11,8,3,166,
20260302_001754,8.0,iterative_2.0,1.0,61.0,83,158,16,6,10,144,
20260302_151609,8.0,iterative_2.0,1.0,60.5,82,159,13,7,6,142,
20260302_182031,8.0,iterative_2.0,1.0,99.0,159,82,12,7,5,158,
20260304_141615,8.0,iterative_2.0,1.0,61.0,83,158,15,6,9,147,
20260304_211839,8.0,iterative_2.0,1.0,62.5,86,155,14,6,8,158,
