wait_time,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
3600,12.203,0.008182349503214495,0.007597895967270602,1711,14,13,16.689647912979126
900,12.2,0.08369230769230769,0.011076923076923076,1625,136,18,5.8873701095581055
500,12.204,0.13669501822600244,0.006682867557715674,1646,225,11,4.348955154418945
3600,12.2,0.005717552887364208,0.008576329331046312,1749,10,15,16.689393758773804
1000,12.202,0.08516638465877044,0.009588268471517203,1773,151,17,6.304667234420776
4800,12.203,0.0022624434389140274,0.008484162895927601,1768,4,15,21.604982137680054
900,12.202,0.10459324847814057,0.009407858328721638,1807,189,17,5.96408748626709
1500,12.202,0.05719044975013881,0.009994447529150472,1801,103,18,8.331778287887573
1000,12.199,0.08100858369098712,0.008047210300429184,1864,151,15,6.348465442657471
3600,12.203,0.004792332268370607,0.007987220447284345,1878,9,15,16.823434829711914
1600,12.2,0.05380116959064327,0.007017543859649123,1710,92,12,8.743856430053711
2800,12.203,0.008287292817679558,0.0055248618784530384,1810,15,10,13.539072751998901
800,12.2,0.12180974477958237,0.01160092807424594,1724,210,20,5.489830255508423
7000,12.199,0.0005324813631522897,0.011714589989350373,1878,1,22,30.339656114578247
300,12.197,0.1456953642384106,0.007826610475617099,1661,242,13,3.566230058670044
200,12.198,0.18333333333333332,0.009333333333333334,1500,275,14,3.130032777786255
700,12.195,0.1291866028708134,0.005382775119617225,1672,216,9,5.094598054885864
600,12.195,0.12994011976047903,0.010778443113772455,1670,217,18,4.75696063041687
900,12.197,0.10342823939570017,0.013945380592678676,1721,178,24,5.891790151596069
4000,12.194,0.003854625550660793,0.011013215859030838,1816,7,20,18.34799861907959
1800,12.195,0.03571428571428571,0.006802721088435374,1764,63,12,9.550388813018799
1800,12.193,0.037219485495347565,0.008210180623973728,1827,68,15,9.574268579483032
1700,12.193,0.04473386183465459,0.007361268403171008,1766,79,13,9.111032724380493
2800,12.198,0.01216931216931217,0.007407407407407408,1890,23,14,13.492646932601929
3200,12.199,0.005971769815418024,0.010857763300760043,1842,11,20,15.100190162658691
1100,12.198,0.08185460789925587,0.008586147681740127,1747,143,15,6.774042367935181
4000,12.197,0.0011173184357541898,0.008379888268156424,1790,2,15,18.35088348388672
4800,12.195,0.0005820721769499418,0.005820721769499418,1718,1,10,21.508476495742798
100,12.198,0.1799617102744097,0.005105296745373325,1567,282,8,2.74776029586792
5000,12.198,0.002748763056624519,0.010445299615173173,1819,5,19,22.30545401573181
4400,12.199,0.00281214848143982,0.00843644544431946,1778,5,15,19.90743589401245
4800,12.199,0.0015923566878980893,0.008492569002123142,1884,3,16,21.575212717056274
600,12.198,0.1211234640140433,0.0052662375658279695,1709,207,9,4.805595636367798
800,12.199,0.10587550901687028,0.011052937754508435,1719,182,19,5.488821744918823
2000,12.195,0.034977064220183485,0.010321100917431193,1744,61,18,10.306504487991333
1700,12.198,0.04023926046764546,0.004350190320826536,1839,74,8,9.145366430282593
0,12.194,0.19329214474845544,0.0,1133,219,0,2.4031858444213867
50000,12.195,0.0,0.006730229949523275,1783,0,12,202.28174996376038
900,12.195,0.0932857991681521,0.009506833036244802,1683,157,16,5.919625520706177
1600,12.195,0.04368673415023974,0.006925945657964837,1877,82,13,8.713326215744019
20000,12.193,0.0,0.007484168105929764,1737,0,13,82.32434821128845
1500,12.197,0.056493884682585906,0.008153756552125802,1717,97,14,8.334589719772339
4000,12.194,0.001633097441480675,0.005443658138268917,1837,3,10,18.27401900291443
1000,12.191,0.09353846153846154,0.006153846153846154,1625,152,10,6.301892042160034
7000,12.189,0.0011154489682097045,0.005577244841048522,1793,2,10,30.318016529083252
500,12.187,0.1535735380980508,0.01004134672179563,1693,260,17,4.3068156242370605
1600,12.185,0.046789989118607184,0.007616974972796518,1838,86,14,8.696714401245117
800,12.189,0.10451045104510451,0.00825082508250825,1818,190,15,5.478987693786621
300,12.189,0.17045454545454544,0.009569377990430622,1672,285,16,3.6058061122894287
1400,12.187,0.06289671090594345,0.008078476630121177,1733,109,14,7.965916633605957
500,12.185,0.14020857473928158,0.008111239860950173,1726,242,14,4.257386684417725
1400,12.191,0.0536986301369863,0.008767123287671232,1825,98,16,7.953067302703857
2000,12.187,0.02779234399580493,0.011536444677503933,1907,53,22,10.346863031387329
0,12.185,0.17223650385604114,0.0,1167,201,0,2.3379201889038086
4800,12.188,0.0015781167806417674,0.006838506049447659,1901,3,13,21.593884706497192
12000,12.185,0.0011331444759206798,0.010198300283286119,1765,2,18,50.365508794784546
35000,12.188,0.000536480686695279,0.0075107296137339056,1864,1,14,142.2869737148285
800,12.184,0.09864146485528648,0.008860011813349085,1693,167,15,5.54517936706543
5000,12.187,0.0021287919105907396,0.006386375731772219,1879,4,12,22.32190465927124
900,12.185,0.0956964892412231,0.010192525481313703,1766,169,18,5.988391637802124
3200,12.185,0.0032733224222585926,0.008183306055646482,1833,6,15,15.06646180152893
