key,timestamp,data_type,fit_kind,model,sign_mode,status,param,Value,Sigma1,CI95_width,CI95_low,CI95_high,RF_set,RF_meas,score_AICc,score_R2
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,amp1,0.0115816633219581,0.00310156787935946,0.00619295393248789,0.00538870938947018,0.017774617254446,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,amp2,0.0458779768859061,0.00268252775696177,0.00535624931249779,0.0405217275734083,0.0512342261984038,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,base,0.134270116071829,0.00248364629346412,0.00495913927351932,0.12931097679831,0.139229255345349,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,center1,53.2036760251021,0.461140388007294,0.920766944468269,52.2829090806338,54.1244429695703,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,center2,56.1905271308919,0.138486824799564,0.276519025086543,55.9140081058054,56.4670461559785,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,sigma1,1.35841747850366,0.494156292086066,0.986690368024464,0.371727110479198,2.34510784652813,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_double,20251209_171547,trapped,double,double_gaussian,dip,ok,sigma2,1.88257371646572,0.211478798896217,0.422263355246194,1.46031036121953,2.30483707171191,0,10.2725526315789,-485.387909459253,0.925178715445162
20251209_171547_trapped_single,20251209_171547,trapped,single,single_gaussian,dip,ok,amp1,0.0417017038505944,0.0024612939614022,0.00490785660201211,0.0367938472485823,0.0466095604526065,0,10.2725526315789,-476.899112860766,0.892988045205102
20251209_171547_trapped_single,20251209_171547,trapped,single,single_gaussian,dip,ok,base,0.131710434659741,0.00207671977546742,0.00414100998108749,0.127569424678654,0.135851444640829,0,10.2725526315789,-476.899112860766,0.892988045205102
20251209_171547_trapped_single,20251209_171547,trapped,single,single_gaussian,dip,ok,center1,55.9698738224335,0.0801688839500798,0.159857941611406,55.8100158808221,56.1297317640449,0,10.2725526315789,-476.899112860766,0.892988045205102
20251209_171547_trapped_single,20251209_171547,trapped,single,single_gaussian,dip,ok,sigma1,2.13634517203228,0.181809726333993,0.362531286262922,1.77381388576936,2.4988764582952,0,10.2725526315789,-476.899112860766,0.892988045205102
20251209_172238_lost_double,20251209_172238,lost,double,double_gaussian,peak,ok,amp1,0.0139292811614218,0.00081398690659106,0.00162120316208792,0.0123080779993338,0.0155504843235097,0,10.2749512195122,-668.173442201506,0.955657116486207
20251209_172238_lost_double,20251209_172238,lost,double,double_gaussian,peak,ok,amp2,0.00593296125609869,0.00136987138478236,0.00272834833420564,0.00320461292189305,0.00866130959030433,0,10.2749512195122,-668.173442201506,0.955657116486207
