timestamp,date,time,data_type,RF_set,RF_meas,model_chosen,chosen_fit_kind,AICc_single,AICc_double,delta_AICc,score_R2,score_SSE,score_RMSE,sign_mode,double_class,decision_note,weak_rejected,weak_component,component,center,center_sigma,sigma,amp
20251212_191239,20251212,191239,lost,2.600000000000001,11.689323076923076,double,double,-853.760211089497,-958.646982923521,104.88677183402399,0.961650381214879,0.0004844581032499,0.0024456009972303,peak,true_double,true_strong(S>=1.0),False,,2,104.9583,0.070107,1.3967,0.023856
20251212_191239,20251212,191239,trapped,2.600000000000001,11.689323076923076,double,double,-849.444359585025,-902.977139983757,53.532780398731916,0.911828034986278,0.0009632499821675,0.0034484743131548,dip,true_double,true_strong(S>=1.0),False,,1,100.827,0.13244,2.7769,0.030029
20251212_191239,20251212,191239,trapped,2.600000000000001,11.689323076923076,double,double,-849.444359585025,-902.977139983757,53.532780398731916,0.911828034986278,0.0009632499821675,0.0034484743131548,dip,true_double,true_strong(S>=1.0),False,,2,105.1146,0.10467,1.2671,0.024181
20251212_192357,20251212,192357,lost,2.600000000000001,11.693934782608697,double,double,-723.8401123616,-728.431964445232,4.591852083632034,0.921874039746148,9.38297463706363e-05,0.0012944231090296,peak,ambiguous,ambiguous | best_one=dominant,False,,1,143.8765,0.25622,1.7431,0.011095
20251212_192357,20251212,192357,trapped,2.600000000000001,11.693934782608697,double,double,-676.20261893058,-678.387914054622,2.1852951240419998,0.863753188093817,0.0002293216694923,0.0020236180006028,dip,ambiguous,ambiguous | best_one=dominant,False,,2,144.4093,0.10154,3.0444,0.016438
20251215_121232,20251215,121232,lost,3.3,11.864536585365853,double,double,,-522.339459373796,,0.956048805137395,0.0013126517561823,0.0050732898329452,peak,ambiguous,ambiguous | best_one=dominant,False,,2,35.6671,0.040537,0.62315,0.058985
20251215_121232,20251215,121232,trapped,3.3,11.864536585365853,double,double,-485.712053476147,-537.016451702275,51.30439822612806,0.962790719676771,0.0009843883149651,0.0043933736087411,dip,ambiguous,ambiguous | best_one=dominant,False,,2,35.7807,0.025404,0.51741,0.067703
20251215_121921,20251215,121921,lost,3.3,11.839509803921567,double,double,,-1381.9053715773,,0.940149775202675,0.001930714552998,0.0039144771519323,peak,true_double,true_strong(S>=1.0),False,,1,64.8474,0.086367,5.6413,0.037769
20251215_121921,20251215,121921,lost,3.3,11.839509803921567,double,double,,-1381.9053715773,,0.940149775202675,0.001930714552998,0.0039144771519323,peak,true_double,true_strong(S>=1.0),False,,2,71.2768,0.031592,1.1495,0.037483
20251215_121921,20251215,121921,trapped,3.3,11.839509803921567,double,double,,-1376.35329727169,,0.937619122743477,0.0020176919333783,0.0040016781533108,dip,true_double,true_strong(S>=1.0),False,,1,65.2174,0.1295,6.0515,0.037654
20251215_121921,20251215,121921,trapped,3.3,11.839509803921567,double,double,,-1376.35329727169,,0.937619122743477,0.0020176919333783,0.0040016781533108,dip,true_double,true_strong(S>=1.0),False,,2,71.6348,0.03573,1.0269,0.044872
20251215_123555,20251215,123555,lost,3.3,11.8505,single,single,-463.93849610606,-461.701395816191,-2.2371002898689767,0.919214604066075,7.03712312691966e-05,0.0013981260401495,peak,single,,False,,1,84.0723,0.042703,1.0736,0.014177
20251215_124102,20251215,124102,lost,3.3,11.852164383561643,double,double,-1010.63760385403,-1072.50313311423,61.86552926019999,0.966679970299364,0.000585195892495,0.0025358872398732,peak,ambiguous,ambiguous | best_one=dominant,False,,1,103.5197,0.098887,4.1205,0.036886
20251215_124102,20251215,124102,trapped,3.3,11.852164383561643,double,double,-995.971205816507,-1026.08823894883,30.117033132322945,0.936374569861521,0.0009745739802551,0.0032725531590225,dip,ambiguous,ambiguous | best_one=dominant,False,,1,103.9372,0.11882,4.1001,0.03374
20251215_140843,20251215,140843,lost,4.0,12.104239130434781,double,double,-467.205069550823,-468.73291884593,1.5278492951069893,0.839857808237613,0.0096911161921126,0.0131550616223462,peak,ambiguous,ambiguous | best_one=dominant,False,,2,36.1133,0.031145,0.75217,0.065129
20251215_140843,20251215,140843,trapped,4.0,12.104239130434781,double,double,-474.631456724771,-536.413672505677,61.78221578090603,0.948911608522521,0.0028939568634653,0.0071887273653484,dip,ambiguous,ambiguous | best_one=dominant,False,,2,36.4731,0.032082,0.87244,0.082417
20251215_141616,20251215,141616,lost,4.0,12.08411627906977,single,single,-899.664037738061,-896.091764132324,-3.5722736057369957,0.808577729004589,0.0201779388180037,0.0137970255264457,peak,single,,False,,1,71.523,0.12671,3.1343,0.08046
