Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
0.15,500,6000,12.04,0.053028757903324494,0.01223740566999796,4903,260,60,6.906459331512451
-0.1,1500,16000,12.041,0.008098323170731708,0.014005335365853659,10496,85,147,32.481595516204834
-0.05,3000,25000,12.041,0.0008487420430433464,0.015580478933010003,16495,14,257,87.86623430252075
0.2,1000,10000,12.043,0.014469103568320279,0.010008703220191472,9192,133,92,15.674452543258667
0.15,300,5000,12.04,0.07304393033532623,0.014296854691967767,3847,281,55,4.976491689682007
0.1,1000,10000,12.04,0.033075206720042,0.01220632628953931,7619,252,93,15.747545719146729
0.25,3000,25000,12.043,0.00029808480512705867,0.011923392205082347,26838,8,320,87.83589124679565
0.05,800,8000,12.033,0.06051820982061968,0.015582533067584708,5519,334,86,11.318366050720215
-0.1,1000,10000,12.029,0.024707203593775068,0.014118402053585753,6233,154,88,15.765509843826294
0.0,1800,20000,12.03,0.00987788753208369,0.01656685074278603,12857,127,213,46.415194034576416
-0.15,1800,20000,12.026,0.0028797164586871447,0.013290999040094514,13543,39,180,46.46431374549866
-0.1,300,5000,12.031,0.0965673330818559,0.010562052055827989,2651,256,28,4.924049377441406
0.1,800,8000,12.033,0.050393700787401574,0.012248468941382326,5715,288,70,11.30728793144226
-0.2,300,5000,12.033,0.018054532056005896,0.015106853352984525,2714,49,41,4.98392653465271
-0.2,1200,12000,12.027,0.0025220680958385876,0.013366960907944515,7930,20,106,21.078622102737427
0.05,600,7000,12.027,0.08096828046744574,0.011268781302170284,4792,388,54,8.599035024642944
0.1,1200,12000,12.029,0.023354345354965382,0.0126072129792291,9677,226,122,21.098142862319946
0.2,1200,12000,12.027,0.010039135613408202,0.010804832397481708,11754,118,127,21.047130584716797
0.2,3000,25000,12.027,0.0006063821723641324,0.009853710300917152,26386,16,260,87.73130083084106
-0.1,500,6000,12.029,0.06883835279655809,0.012292562999385371,3254,224,40,7.003373384475708
0.25,1500,16000,12.029,0.00291057716125836,0.01250928907604657,16148,47,202,32.49264192581177
0.15,800,8000,12.03,0.03042422511069847,0.010855592058277389,7001,213,76,11.192563772201538
0.25,300,5000,12.025,0.030536246276067526,0.010178748758689175,4028,123,41,5.0114521980285645
-0.15,300,5000,12.027,0.04577861163227017,0.01200750469043152,2665,122,32,4.976974010467529
0.0,1200,12000,12.027,0.029082468596395412,0.016111414527580557,7324,213,118,21.15447998046875
-0.15,3000,25000,12.027,0.00038955979742890534,0.01168679392286716,17969,7,210,87.85064935684204
-0.15,500,6000,12.027,0.029097387173396674,0.013657957244655582,3368,98,46,6.997940301895142
0.1,500,6000,12.026,0.08234421364985163,0.01483679525222552,4044,333,60,6.884428977966309
0.05,1000,10000,12.027,0.03758238676202496,0.014584209788248493,7131,268,104,15.757574558258057
-0.05,300,5000,12.029,0.11895161290322581,0.013306451612903225,2480,295,33,5.031133651733398
0.1,300,5000,12.025,0.10730804810360776,0.010175763182238668,3243,348,33,4.965634346008301
-0.05,1800,20000,12.026,0.008531099736311464,0.016441755855436637,12894,110,212,46.39579176902771
0.25,1200,12000,12.036,0.004446724816145032,0.011458867795450658,11694,52,134,21.071703910827637
-0.2,1000,10000,12.042,0.0031294007197621657,0.015803473634798938,6391,20,101,15.7177574634552
0.25,1000,10000,12.038,0.008184679958027283,0.012381951731374607,9530,78,118,15.74973726272583
-0.1,1800,20000,12.04,0.004884280132251277,0.013826269912834385,13308,65,184,46.43841052055359
0.2,1500,16000,12.04,0.004551201011378002,0.012895069532237674,15820,72,204,32.50298476219177
-0.15,600,7000,12.043,0.024924471299093656,0.013846928499496475,3972,99,55,8.60044264793396
-0.15,1000,10000,12.043,0.013873205355702533,0.012582674624939507,6199,86,78,15.722677230834961
0.2,300,5000,12.043,0.04730064388311045,0.011639425458147598,4038,191,47,5.046584367752075
0.0,3000,25000,12.044,0.0012494050452165634,0.014695383150880533,16808,21,247,87.85955476760864
0.15,1800,20000,12.047,0.005365903515944399,0.012213818479149633,19568,105,239,46.26767635345459
0.25,600,7000,12.047,0.017340094879764435,0.011614591853427123,6113,106,71,8.641874551773071
0.25,500,6000,12.047,0.023023791250959325,0.01170376055257099,5212,120,61,6.899211168289185
-0.05,500,6000,12.044,0.08953301127214171,0.011272141706924315,3105,278,35,6.927917003631592
0.25,800,8000,12.044,0.012079615648592999,0.014275909402882635,7285,88,104,11.223515748977661
-0.2,500,6000,12.048,0.012252042007001166,0.015460910151691949,3428,42,53,6.818925142288208
-0.05,1500,16000,12.044,0.01547215012976642,0.015771611100019962,10018,155,158,32.535165786743164
-0.2,3000,25000,12.043,0.00011186307959058112,0.012696459533530957,17879,2,227,87.8234429359436
0.0,1000,10000,12.047,0.047082562636623505,0.01782411299815033,5947,280,106,15.763286352157593
-0.05,1000,10000,12.044,0.03626149131767109,0.01481103166496425,5874,213,87,15.80990481376648
0.0,500,6000,12.044,0.0943806271344303,0.015833592052157716,3221,304,51,6.9550864696502686
-0.1,3000,25000,12.044,0.0009738771769019248,0.012431255728689276,17456,17,217,87.84069299697876
