Ey,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.08,1800,20000,12.027,0.00064246707356248,0.00256986829424992,12452,8,32,46.546462059020996
0.16,600,7000,12.027,0.01097560975609756,0.003048780487804878,3280,36,10,8.609113931655884
-0.12,500,6000,12.025,0.006807131280388979,0.0012965964343598054,3085,21,4,6.928420305252075
0.08,1800,20000,12.027,0.00500891416928432,0.0073860259784362,11779,59,87,46.388415575027466
-0.16,1800,20000,12.027,7.804573480059315e-05,0.000546320143604152,12813,1,7,46.43898129463196
0.12,1000,10000,12.046,0.009998077292828303,0.003460872909055951,5201,52,18,15.846064329147339
0.08,600,7000,12.049,0.0701344243132671,0.007890122735242549,3422,240,27,8.734570980072021
-0.08,600,7000,12.049,0.031364792314213054,0.0014128284826222096,3539,111,5,8.59431004524231
0.0,1200,12000,12.047,0.024396818978298963,0.012670171182100013,7419,181,94,21.1532039642334
0.04,1800,20000,12.046,0.007525020693806908,0.01738279780269396,13289,100,231,46.38885712623596
0.12,1200,12000,12.049,0.006792219820932387,0.004167953071935782,6478,44,27,21.173638343811035
0.12,300,5000,12.045,0.07584014532243415,0.005449591280653951,2202,167,12,4.990479469299316
0.0,800,8000,12.043,0.05336476639519931,0.011573081868838405,4666,249,54,11.234074592590332
-0.12,1800,20000,12.047,0.0,0.0017179447134155865,12806,0,22,46.44348764419556
-0.04,1000,10000,12.05,0.023323088049177362,0.005423973964924968,5531,129,30,15.735246896743774
0.16,1200,12000,12.051,0.0019502681618722574,0.0016252234682268812,6153,12,10,21.126819849014282
-0.04,3000,25000,12.05,0.0008959426596697811,0.0036477665429412516,15626,14,57,87.84554123878479
-0.04,300,5000,12.05,0.08817384036773925,0.003343083994985374,2393,211,8,5.033581018447876
-0.16,1200,12000,12.046,0.00013491635186184566,0.0010793308148947653,7412,1,8,21.156702041625977
-0.08,1200,12000,12.047,0.005842952828844236,0.0024226877583012683,7017,41,17,21.082972049713135
0.08,1200,12000,12.049,0.017996400719856028,0.00614877024595081,6668,120,41,21.097835540771484
0.16,800,8000,12.049,0.0058016877637130804,0.002109704641350211,3792,22,8,11.334490299224854
-0.12,800,8000,12.049,0.0026338893766461808,0.001755926251097454,4556,12,8,11.229789733886719
-0.08,1500,16000,12.05,0.0017500514721021207,0.002985381922997735,9714,17,29,32.60125494003296
-0.08,800,8000,12.046,0.015131286159323543,0.0013351134846461949,4494,68,6,11.25924563407898
