Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,lost_signal,trapped_signal,time_cost
-0.357894737,0.0535087719,-0.028320802,0.017556003020387616,0.0005033979360684622,15892,8,279,6.518467426300049
0.0887218045,-0.083333333,0.073433584,0.006152389966871746,0.0036086133459536204,16904,61,104,6.60292387008667
-0.136842105,0.1929824561,0.0538847118,0.04437946718648473,0.005003248862897986,15390,77,683,6.479109525680542
-0.398496241,-0.081578947,0.0839598997,0.00024412572474824534,0.000732377174244736,16385,12,4,6.420350551605225
0.1308270677,-0.066666667,-0.096491228,5.7501006267609686e-05,0.00028750503133804844,17391,5,1,6.667996883392334
-0.178947368,-0.136842105,-0.035839599,0.04244613598245388,0.009160108373113146,15502,142,658,6.486990213394165
-0.212030075,0.0956140351,-0.094486216,0.026436330323256117,0.005169480434498102,15282,79,404,6.405102252960205
-0.193984962,0.1710526316,0.0313283208,0.10059687479042317,0.006169941653812621,14911,92,1500,6.43346095085144
-0.395488722,-0.059649123,0.0162907268,0.011707068779029077,0.0003817522427944264,15717,6,184,6.442068815231323
-0.263157895,-0.013157895,0.0498746867,0.044750723158073845,0.0032329419771992512,17631,57,789,6.965076923370361
-0.312781955,-0.060526316,0.0884711779,0.003957702059241852,0.000989425514810463,16171,16,64,6.495004653930664
0.1864661654,0.1,0.0127819549,0.0,0.0004950767368942186,18179,9,0,6.855570316314697
-0.356390977,-0.137719298,0.0363408521,0.0,0.0006201764057331864,14512,9,0,6.321550607681274
-0.108270677,-0.128070175,0.0152882206,0.04779596977329975,0.013602015113350126,15880,216,759,6.518803358078003
0.0736842105,-0.039473684,-0.073433584,5.2637119696810194e-05,0.0016317507106011159,18998,31,1,7.33257794380188
-0.323308271,0.0929824561,-0.017794486,0.03713237660081086,0.0012870841109466503,15539,20,577,6.403306245803833
-0.043609023,-0.064912281,0.0052631579,0.052203600248292986,0.011669770328988206,16110,188,841,6.5497517585754395
0.184962406,-0.078070175,-0.015789474,0.0,0.000537505972288581,16744,9,0,6.540011644363403
-0.105263158,0.1149122807,0.0348370927,0.10367750198206989,0.014392876745746174,16397,236,1700,6.962138652801514
-0.381954887,0.0052631579,-0.093984962,0.01104372805617619,0.0016597510373443983,15665,26,173,6.346196413040161
-0.359398496,0.049122807,-0.055388471,0.014968487394957984,0.0006565126050420169,15232,10,228,6.393366575241089
-0.14887218,0.1289473684,0.0037593985,0.10919800634345266,0.014386044404168555,17656,254,1928,7.401202917098999
0.0060150376,0.1824561404,-0.091478697,0.0,0.0007137295613807423,15412,11,0,6.280537128448486
-0.132330827,0.1859649123,-0.042857143,0.04746480627880902,0.004484863585399277,16054,72,762,6.609228610992432
-0.063157895,0.1973684211,-0.082957393,0.0059235325794291865,0.004173397953688745,14856,62,88,6.300164222717285
0.1533834586,0.0421052632,-0.014786967,0.00033840947546531303,0.0006768189509306261,17730,12,6,6.755263805389404
0.045112782,0.0473684211,0.0864661654,0.02725538293813028,0.011937857726901063,18345,219,500,7.197994232177734
-0.088721805,0.0289473684,-0.065413534,0.039331255313119866,0.009124397846415415,17645,161,694,7.022281885147095
0.0466165414,0.0894736842,0.0954887218,0.01786994367639529,0.009575012800819252,19530,187,349,7.4727232456207275
-0.318796992,-0.028947368,-0.070927318,0.016527796749077995,0.0021854937850020488,14642,32,242,6.2561094760894775
0.1879699248,0.1473684211,-0.039849624,0.0,0.00042504098609508776,16469,7,0,6.572373628616333
0.0345864662,0.1535087719,0.0203007519,0.015773809523809523,0.008690476190476191,16800,146,265,6.602997541427612
-0.141353383,-0.124561404,0.0513784461,0.05115327380952381,0.017237103174603176,16128,278,825,6.730220556259155
0.0827067669,0.0447368421,-0.069924812,0.004162384378211716,0.004779033915724563,19460,93,81,7.389973878860474
0.0511278195,-0.13245614,0.0453634085,0.00023049441051054513,0.0010372248472974531,17354,18,4,6.839181184768677
-0.054135338,-0.055263158,0.0488721805,0.05491808308277597,0.011597226483401854,16297,189,895,6.83061671257019
-0.10075188,-0.127192982,-0.060902256,0.015195898938117906,0.01019162699865739,16386,167,249,6.664854526519775
