Ex,Ey,Ez,U2,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.038936761,0.1514511329,0.0425657325,-0.24,0.013217636969024317,0.0030269397638986984,9911,131,30,6.74379301071167
-0.107881455,0.0395593465,-0.003624099,-0.13,0.09206373064782805,0.003983165489252968,13306,1225,53,6.861193418502808
-0.235783502,0.0132372752,0.0671902526,-0.18,0.10802121845362482,0.003777527728660987,12442,1344,47,6.911003112792969
-0.299385161,0.055813052,-0.04261879,-0.18,0.05812331442388171,0.0007439784246256858,10753,625,8,6.769091367721558
-0.022993097,0.0815684583,-0.070556362,-0.24,0.05639476334340383,0.015746589764716653,10923,616,172,6.794215202331543
-0.155051939,0.0433971272,0.0095426185,-0.18,0.1472923543581051,0.008207690248907128,11209,1651,92,6.89511775970459
-0.19059027,-0.090188344,-0.07681386,-0.18,0.04342158042519054,0.0010028078620136383,9972,433,10,6.829653978347778
0.0099398655,-0.067772293,-0.034381073,-0.3,0.0,0.000522420548541576,11485,0,6,6.741718053817749
-0.232545951,-0.005062168,0.0235080656,-0.24,0.11987785657998425,0.0010835303388494878,10152,1217,11,6.818246841430664
-0.031099542,0.1284651929,0.0213251543,-0.24,0.03022350918468917,0.008234548909600941,11051,334,91,6.7308855056762695
-0.193885343,0.1887148675,0.0645032428,-0.1,0.01037344398340249,0.0013278008298755186,12050,125,16,6.807748317718506
-0.02717613,-0.043481687,-0.032141893,-0.1,0.022525243807715544,0.0024165012514024337,11587,261,28,6.718263149261475
-0.116596003,0.1209121107,-0.056477668,-0.24,0.08431648446801603,0.005953025219179565,9239,779,55,6.716938018798828
-0.28396353,-0.018014244,0.0310947677,-0.18,0.10286967299075221,0.0011440556773762989,10489,1079,12,6.8225743770599365
-0.299798816,0.160148707,0.0745485755,-0.13,0.0019021269237420025,0.0011239840913020924,11566,22,13,6.817884683609009
-0.142978852,0.0354325545,-0.023524903,-0.13,0.058988966611379534,0.003245114300137016,13867,818,45,6.808323383331299
-0.159489948,0.0414419274,-0.056913976,-0.13,0.0280053502758736,0.0034275204815248286,11962,335,41,6.729164123535156
-0.120189387,-0.06926108,0.0409473861,-0.3,0.007136975020587428,0.0043919846280538015,10929,78,48,6.724069595336914
-0.322504534,0.002045071,-0.00835387,-0.1,0.013556618819776715,0.0017543859649122807,12540,170,22,6.821036338806152
-0.246637652,0.1771351999,0.0653840779,-0.3,0.0,0.0003163222269084774,9484,0,3,6.7586989402771
-0.036366847,0.180548658,0.0293291302,-0.3,0.0,0.0005223568742164647,9572,0,5,6.743149757385254
-0.175772256,-0.024652533,-0.066059158,-0.3,0.07365261973239964,0.0022508440665249467,7997,589,18,6.703385353088379
-0.26832461,0.1260254935,0.0739316284,-0.3,0.0013659766733214247,0.0005253756435851634,9517,13,5,6.775924921035767
-0.288882103,0.0291479572,-0.026276215,-0.3,0.04169670752223023,0.000600817111271329,8322,347,5,6.766452074050903
-0.325726915,0.1799858161,0.0118483707,-0.24,0.0,0.0003611846857693234,8306,0,3,6.7104270458221436
-0.091768663,-0.093593623,-0.039033976,-0.24,0.025293148560907065,0.012501211357689699,10319,261,129,6.843506097793579
-0.2002534,0.06710861,0.0082139872,-0.24,0.14288707311963125,0.0019903624554787345,9546,1364,19,6.79796576499939
-0.067747054,0.1693344549,0.0172389236,-0.24,0.009528346831824679,0.003144354454502144,10495,100,33,6.763171911239624
