Ex,Ey,Ez,mesh_voltage,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.00956497,0.0407812315,-0.03181138,80,0.09265969562066466,0.006108292783932084,9659,895,59,6.789098024368286
-0.16785414,0.0669276997,-0.001137706,80,0.08076792002726343,0.0010223787345223219,8803,711,9,6.723819732666016
-0.146085497,0.1269095218,-0.040954524,80,0.030369826108253735,0.0007347538574577516,8166,248,6,6.693363189697266
-0.247805272,-0.09944641,0.040837105,80,0.0025167785234899327,0.0007340604026845638,9536,24,7,6.60642147064209
-0.156099041,0.1183427475,0.014587451,80,0.059670016127031385,0.0009924327006574866,8061,481,8,6.691258668899536
-0.224922379,0.059455448,0.0134630489,80,0.05909090909090909,0.001282051282051282,8580,507,11,6.70691990852356
-0.220252454,0.0149207928,0.0312835119,80,0.04257020085939842,0.002098531028280204,10007,426,21,6.685799837112427
-0.173004679,0.1446999149,0.0750937142,80,0.0037502757555702626,0.0013236267372600927,9066,34,12,6.741117477416992
0.0106824828,0.1854422505,0.0647434622,80,0.01729243160014213,0.005329859054838328,8443,146,45,6.60037636756897
-0.253594626,-0.080601921,0.0169175904,80,0.009390673353964358,0.000746985380428983,9371,88,7,6.657115697860718
-0.340431686,0.0343588045,-0.009754886,80,0.015763649650276646,0.00041758012318613634,9579,151,4,6.68946099281311
0.0436919797,-0.077319921,0.0719828769,80,0.04771421433924557,0.014655674910483803,12009,573,176,6.734432220458984
-0.187148143,0.0270278314,0.067484116,80,0.01918194640338505,0.0015044663845792195,10635,204,16,6.684439420700073
-0.271819185,0.1780017536,0.0523496043,80,0.0006491820306413919,0.0006491820306413919,7702,5,5,6.721672773361206
0.0207920881,0.0927221764,0.0604393349,80,0.06704466328459166,0.009151497065552572,10053,674,92,6.684738397598267
0.0156391935,0.1539092917,-0.044957672,80,0.020022667170381564,0.004029719178944717,7941,159,32,6.70540976524353
-0.285073813,-0.026296251,-0.078317541,80,0.011332840601133284,0.0014781966001478197,8118,92,12,6.687412977218628
-0.092108979,-0.097259253,-0.047658617,80,0.03728911042944785,0.0019171779141104294,10432,389,20,6.713861465454102
0.0184008593,0.1791475751,0.0248457795,80,0.021130346232179225,0.00420061099796334,7856,166,33,6.698655843734741
-0.296870044,0.0063481588,-0.026258709,80,0.024642464246424644,0.0012101210121012102,9090,224,11,6.727839946746826
-0.237696477,-0.089170299,0.0725189638,80,0.0005960067547432204,0.0008940101321148307,10067,6,9,6.683026075363159
-0.18967469,0.1550067354,0.0322422272,80,0.015928255922901886,0.001204658010975773,7471,119,9,6.69021463394165
-0.121917734,-0.057066143,-0.054367737,80,0.024252623242922194,0.002276776875866165,10102,245,23,6.7131335735321045
-0.113247078,0.0029509236,-0.066262592,80,0.029994863893168976,0.002362609142270159,9735,292,23,6.721046447753906
-0.10705512,0.1087758507,-0.005392125,80,0.08114008489993936,0.002425712553062462,8245,669,20,6.7238476276397705
0.0341934509,-0.047037823,-0.001227043,80,0.09273787970227318,0.011567089116877892,9942,922,115,6.749823331832886
0.0260992439,0.0780867846,-0.029486743,80,0.07768856722831619,0.007237362885898451,8843,687,64,6.766691207885742
-0.349613872,-0.070684843,0.0340417733,80,0.0,0.00045397798206786973,8811,0,4,6.698696613311768
-0.193513491,0.1922513557,-0.047021375,80,0.009805356358846773,0.0013171374213376262,6833,67,9,6.709965705871582
-0.229072889,-0.04586445,0.0596029025,80,0.0038601982263954094,0.0006259780907668231,9585,37,6,6.693836688995361
-0.063448232,-0.025101789,-0.013588182,80,0.10406646261477918,0.00644949715784871,9148,952,59,6.724167585372925
-0.233678422,0.1473584452,-0.051114432,80,0.01243417203042715,0.0004388531304856641,6836,85,3,6.686157941818237
-0.047707568,0.1340048977,-0.000375858,80,0.05518934987721339,0.002972728447718754,7737,427,23,6.794940710067749
-0.084200925,0.1206673631,0.0704777307,80,0.04444194419441944,0.0036003600360036,8888,395,32,6.698100328445435
-0.198142392,0.1166063008,-0.035036903,80,0.023095572285313257,0.0014035983156820211,7837,181,11,6.702576398849487
-0.265735017,-0.006169437,0.0506268596,80,0.004782741426681591,0.0012211254706421084,9827,47,12,6.717321157455444
-0.165094718,0.0313373675,-0.028476229,80,0.03147527667783531,0.002335262463194233,9849,310,23,6.631760597229004
-0.005145947,0.1488938073,-0.003742265,80,0.031808622502628815,0.004468980021030494,7608,242,34,6.606265544891357
-0.226408999,0.1732091609,-0.025961255,80,0.009608785175017159,0.0004118050789293068,7285,70,3,6.7257139682769775
0.0329393544,0.0553699913,0.0354867342,80,0.10262700603086988,0.012981702954104057,9783,1004,127,6.779199838638306
-0.054943265,-0.040384286,-0.063794497,80,0.031670152375261426,0.0036848919430335623,10041,318,37,6.694491624832153
-0.313984136,0.1979010711,-0.043033516,80,0.0,0.0010114632501685772,5932,0,6,6.69801664352417
-0.207328563,-0.063183301,-0.02174239,80,0.023027004396064477,0.0010466820180029307,9554,220,10,6.721595525741577
-0.323123666,-0.02947364,0.0384287558,80,0.0018036298049825274,0.0011272686281140797,8871,16,10,6.665760040283203
-0.132379812,-0.042735412,-0.03800195,80,0.034115579447947894,0.0018608497880698853,9673,330,18,6.915277719497681
-0.120371507,0.0820979804,0.0794936733,80,0.04962455109369899,0.0030471215583850256,9189,456,28,6.785348176956177
-0.066613804,-0.08582321,0.010153435,80,0.1080995235574378,0.013446267866596083,9445,1021,127,6.779924154281616
-0.300878038,0.0829829779,-0.057743918,80,0.012032842582106455,0.0009909399773499433,7064,85,7,6.689232349395752
0.0045856612,0.0164155431,0.0167544505,80,0.10438059349976449,0.007159679698539802,10615,1108,76,6.778270721435547
-0.055989863,-0.067909741,0.0743321471,80,0.06930967563071805,0.0149708899362351,10821,750,162,6.752652883529663
-0.159336482,-0.001286868,0.0449961996,80,0.06582847797199223,0.004088725339875294,9783,644,40,6.76880407333374
-0.05790525,0.1943412196,0.0342431971,80,0.026045996120809087,0.0038791909116098642,7218,188,28,6.77487587928772
0.008505687,-0.027674779,0.0737884277,80,0.06974879743452699,0.014876180295742027,11226,783,167,6.669045925140381
0.047710732,0.1322290117,-0.061550076,80,0.02465884606176682,0.0037107972228872395,8354,206,31,6.664011716842651
-0.125491722,-0.099841763,-0.072289847,80,0.016362210019051887,0.0021293287011094923,8923,146,19,6.610945701599121
-0.195656063,-0.014078723,-0.068337147,80,0.020864015709376533,0.001718213058419244,8148,170,14,6.714773178100586
-0.052185126,0.1122607254,0.0544317561,80,0.06580615420076064,0.005992854673274173,8677,571,52,6.727239608764648
-0.03415111,0.0423191399,0.063266209,80,0.08589300718887126,0.015311362151059658,10711,920,164,6.8023622035980225
-0.053863397,0.1448920149,-0.037493936,80,0.03630490956072351,0.0036175710594315244,7740,281,28,6.724199056625366
-0.343226312,0.0951133222,-0.049229518,80,0.007720861172976986,0.0010393466963622866,6735,52,7,6.726509094238281
-0.099895035,0.1505784176,0.061955625,80,0.020519159456118666,0.001977750309023486,8090,166,16,6.7232537269592285
-0.289153439,0.141109541,-0.032133253,80,0.008459743290548424,0.0008751458576429405,6856,58,6,6.612739324569702
-0.257267212,0.162283462,-0.079229294,80,0.005739365293720459,0.0008440243079000675,5924,34,5,6.685969829559326
-0.178495906,0.1523918717,-0.056756031,80,0.01652892561983471,0.0012021036814425245,6655,110,8,6.69845175743103
-0.300088543,0.0326442623,0.0300891536,80,0.008890968647636874,0.0009358914365933552,8548,76,8,6.7548418045043945
-0.181850005,-0.087235509,-0.029833605,80,0.021210829247495202,0.00117245789810275,9382,199,11,6.730801582336426
-0.24092652,-0.082358348,-0.065078054,80,0.0037335902685776226,0.0008430687703239793,8303,31,7,6.678481578826904
-0.150555481,0.1002695146,0.0684531705,80,0.02330705009276438,0.0012755102040816326,8624,201,11,6.701957941055298
-0.254918832,0.1021611668,0.0012627572,80,0.024371171640818454,0.0010426169685911638,7673,187,8,6.7262656688690186
-0.290165836,-0.058537857,0.0791686924,80,0.0003079449804968179,0.0006158899609936358,9742,3,6,6.702022314071655
-0.335699184,0.1330428906,0.0657904567,80,0.0,0.0007484096295372333,8017,0,6,6.743839263916016
-0.107683109,-0.031459065,0.0481156973,80,0.10756474329850069,0.004543389368468878,8804,947,40,6.789570569992065
0.045697253,0.1103276872,0.0221367706,80,0.05384889099750919,0.005100225358794923,8431,454,43,6.824059247970581
