RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
2,64,0.15034512510785158,0.0020491803278688526,9272,1394,19,5.117201805114746,11.188
2,47,0.14997281131049484,0.0017400761283306145,9195,1379,16,5.106499195098877,11.195
3,92,0.1814624329159213,0.0017889087656529517,8944,1623,16,5.091466426849365,11.637
2,78,0.1051251229373839,0.002294831165992788,9151,962,21,5.129870176315308,11.189
2,73,0.14513522249757568,0.0018316991703480228,9281,1347,17,5.186392068862915,11.195
2,85,0.15572967678746327,0.001632386549134835,9189,1431,15,5.220298767089844,11.193
4,119,0.18415368875753096,0.0014777765147209276,8797,1620,13,5.224435329437256,12.006
3,80,0.1611754229741763,0.003116651825467498,8984,1448,28,5.149480819702148,11.63
4,95,0.19972372510648095,0.0021871762403591574,8687,1735,19,5.285018444061279,11.998
2,94,0.13734784013788645,0.002477647312291285,9283,1275,23,5.18047308921814,11.179
3,79,0.17027495128815762,0.0012989824637367395,9238,1573,12,5.153687953948975,11.632
3,78,0.18545814541854583,0.0017599824001759982,9091,1686,16,5.156712770462036,11.63
4,50,0.19077166064981949,0.00157942238267148,8864,1691,14,5.162118673324585,11.998
4,97,0.18871529729122177,0.0019107564347532876,8897,1679,17,5.221088409423828,11.984
3,112,0.1670720919946926,0.0021008403361344537,9044,1511,19,5.171396017074585,11.626
2,76,0.13890407962375587,0.0013124794925079295,9143,1270,12,5.131367444992065,11.183
3,75,0.17328721267574201,0.0018968980138361973,8962,1553,17,5.164659261703491,11.631
4,79,0.1870304011096983,0.002658652178938851,8651,1618,23,5.2161383628845215,11.994
2,17,0.14844180156370443,0.0015416804316705209,9081,1348,14,5.205031156539917,11.178
2,67,0.1498164831498165,0.0017795573351128907,8991,1347,16,5.116161584854126,11.184
3,13,0.1806276811921427,0.0009031384059607134,8858,1600,8,5.231383562088013,11.63
2,8,0.15450500556173527,0.0021134593993325916,8990,1389,19,5.108748435974121,11.181
3,73,0.16954938552571688,0.002048247610377788,8788,1490,18,5.158578872680664,11.631
3,33,0.13767711703670646,0.00412808211536316,8963,1234,37,5.128006458282471,11.626
4,84,0.1671413922752649,0.0028483536515893815,8777,1467,25,5.244698524475098,11.993
4,75,0.17606457650912494,0.004445484323818437,8548,1505,38,5.197371959686279,11.981
3,54,0.18509288627095605,0.001359311282283643,8828,1634,12,5.2032692432403564,11.62
3,39,0.17032229185317815,0.0016786034019695612,8936,1522,15,5.145752191543579,11.623
2,110,0.1494586449380511,0.0011161960040183055,8959,1339,10,5.194528579711914,11.18
4,56,0.1957623215108245,0.002533394748963611,8684,1700,22,5.1553285121917725,11.993
2,61,0.12597583146187574,0.003208213025344883,9351,1178,30,5.085050821304321,11.175
2,115,0.1432575185943732,0.0014013150803061335,9277,1329,13,5.10507869720459,11.184
4,19,0.1929554210236654,0.0018712162905888828,9085,1753,17,5.2166383266448975,11.995
2,111,0.14671689989235737,0.0018299246501614639,9290,1363,17,5.166376352310181,11.174
3,99,0.14159792066900215,0.0045202847779410105,8849,1253,40,5.180887937545776,11.627
3,110,0.17640561139953606,0.0008836849663095106,9053,1597,8,5.150902986526489,11.627
2,18,0.15511802458392254,0.0016316762754269552,9193,1426,15,5.242997884750366,11.179
3,26,0.17776046304541407,0.002226179875333927,8984,1597,20,5.130872011184692,11.635
2,25,0.15353819519584505,0.0015148236312486475,9242,1419,14,5.228329181671143,11.185
2,102,0.15341217315829445,0.001952913095367256,9217,1414,18,5.069168329238892,11.188
4,77,0.1921347018798293,0.002652519893899204,8671,1666,23,5.245434045791626,11.998
3,66,0.14354227080080303,0.004572830693731876,8966,1287,41,5.166553497314453,11.622
3,89,0.18268913115295674,0.0022024006166721727,9081,1659,20,5.169092893600464,11.626
3,18,0.18201117318435756,0.001005586592178771,8950,1629,9,5.156152725219727,11.624
3,36,0.16197105292232902,0.002209700585570655,9051,1466,20,5.166820526123047,11.624
3,106,0.17533761346026125,0.0019924728802302415,9034,1584,18,5.1204423904418945,11.606
4,116,0.18443238249220464,0.002887169419101513,8659,1597,25,5.204009294509888,11.968
4,15,0.2077862769722571,0.0018266925448110515,8759,1820,16,5.245574951171875,11.962
3,56,0.16788003911767901,0.0023905248288601543,9203,1545,22,5.147067070007324,11.601
4,26,0.19588660366870483,0.0027793218454697055,8995,1762,25,5.2298619747161865,11.968
3,48,0.18420164284910542,0.0012377630246427367,8887,1637,11,5.14183235168457,11.599
3,74,0.16516779995613073,0.001754770783066462,9118,1506,16,5.400272846221924,11.602
2,20,0.15667762808953006,0.00169725257239843,9427,1477,16,5.217818975448608,11.16
4,42,0.19887923147301007,0.0018298261665141812,8744,1739,16,5.1927244663238525,11.976
2,80,0.1276097145291862,0.0027694929697486153,9388,1198,26,5.285528898239136,11.163
3,44,0.18043863535666815,0.0011076650420912715,9028,1629,10,5.222205638885498,11.61
2,19,0.15538023230330922,0.001643655489809336,9126,1418,15,5.185339450836182,11.159
4,62,0.17638351172853564,0.0028467319517194263,8782,1549,25,5.367301940917969,11.974
2,105,0.15756850804697695,0.0011961722488038277,9196,1449,11,5.128829717636108,11.158
4,39,0.1865212852337316,0.0017399373622549589,8621,1608,15,5.201829433441162,11.974
2,119,0.1525016386279222,0.001857111645182434,9154,1396,17,5.201868057250977,11.158
2,32,0.1350337584396099,0.0018218840424391813,9331,1260,17,5.156627655029297,11.165
2,37,0.1487334920978567,0.002164970772894566,9238,1374,20,5.16050386428833,11.167
3,34,0.06679679028410324,0.006614617219692041,9222,616,61,5.083462238311768,11.61
3,119,0.16330020305653523,0.0019236934915036871,9357,1528,18,5.110825061798096,11.608
4,73,0.15806669671022983,0.0041685443893645785,8876,1403,37,5.117922067642212,11.974
4,96,0.19318557724115118,0.0015437203660822582,9069,1752,14,5.209651470184326,11.965
4,11,0.20609480812641084,0.0024830699774266367,8860,1826,22,5.358212232589722,11.96
3,108,0.17438874623199732,0.0018979569052137992,8957,1562,17,5.187129974365234,11.598
2,60,0.11450462913695861,0.0023411727146961797,9397,1076,22,5.187601327896118,11.159
2,112,0.14108624855552054,0.001575795776867318,9519,1343,15,5.424149036407471,11.165
4,105,0.05718475073313783,0.01466275659824047,8866,507,130,5.142542839050293,11.974
2,7,0.15415606446140798,0.0018023748939779475,9432,1454,17,5.134459018707275,11.151
4,22,0.20552831029870708,0.0025635309852875612,8972,1844,23,5.39210319519043,11.97
4,98,0.19299405155320556,0.001762502753910553,9078,1752,16,5.225236654281616,11.96
2,11,0.15289470948965803,0.0017669680906350692,9621,1471,17,5.075968503952026,11.151
