U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
-0.16,29,0.17709680628793154,0.0059695552681325245,10051,1780,60,5.372811794281006,12.007
-0.14,114,0.1541595003168281,0.005521861138770707,11047,1703,61,5.285742282867432,12.005
-0.14,40,0.17130620985010706,0.004104211277658815,11208,1920,46,5.389268159866333,12.011
-0.14,23,0.166223769815816,0.005406396041418492,10913,1814,59,5.501288890838623,12.008
-0.18,112,0.1895259319286872,0.003646677471636953,9872,1871,36,5.313910722732544,12.003
-0.14,95,0.16957695769576958,0.0032403240324032404,11110,1884,36,5.373704195022583,12.003
-0.14,91,0.16775092936802974,0.00362453531598513,10760,1805,39,5.3377845287323,12.003
-0.16,61,0.1884422110552764,0.0052261306532663315,9950,1875,52,5.366645336151123,12.007
-0.14,31,0.15743847874720357,0.00587248322147651,10728,1689,63,5.518781661987305,12.007
-0.18,66,0.15068075594391384,0.00609632188579557,9842,1483,60,5.319124460220337,12.003
-0.14,109,0.17108479037413046,0.007332205301748449,10638,1820,78,5.34004807472229,12.004
-0.16,38,0.19159529974108744,0.0034853614817765386,10042,1924,35,5.434678792953491,12.0
-0.16,113,0.18251875887243968,0.0038531737984181707,9862,1800,38,5.419373989105225,12.003
-0.14,56,0.1672882743564086,0.003638679159465114,10993,1839,40,5.521640062332153,12.003
-0.14,6,0.1792684033765998,0.002813833166923845,11017,1975,31,5.422803640365601,12.004
-0.14,46,0.17295308187672492,0.0029438822447102114,10870,1880,32,5.388765811920166,12.003
-0.18,103,0.13396645787027683,0.02050919377652051,9898,1326,203,5.331560850143433,12.003
-0.18,47,0.18443126022913256,0.0025572831423895256,9776,1803,25,5.456901550292969,12.005
-0.16,118,0.1867493995196157,0.002702161729383507,9992,1866,27,5.395648002624512,11.999
-0.16,90,0.19383215369059656,0.0032355915065722953,9890,1917,32,5.256703615188599,12.0
-0.14,79,0.16306975911166832,0.010387749619414346,11167,1821,116,5.350772142410278,11.999
-0.18,94,0.19172893847886172,0.0022520217013000305,9769,1873,22,5.365797519683838,11.999
-0.18,44,0.19156468089410336,0.0023262870435925963,9887,1894,23,5.377965450286865,12.007
-0.14,4,0.1838175400488732,0.001629106706489275,11049,2031,18,5.545403003692627,12.003
-0.14,117,0.17597087378640777,0.003547423450336072,10712,1885,38,5.355011224746704,12.0
-0.14,77,0.15934376767867245,0.013105789175938147,10606,1690,139,5.392550230026245,12.004
-0.18,45,0.18658088235294118,0.0025531045751633987,9792,1827,25,5.35454535484314,12.0
-0.14,64,0.16566265060240964,0.007059487951807229,10624,1760,75,5.352330446243286,12.003
-0.14,47,0.17734315948601662,0.004062736205593349,10584,1877,43,5.525903940200806,12.004
-0.16,92,0.19180028414856912,0.0028414856910899127,9854,1890,28,5.341012716293335,12.003
-0.14,78,0.16415006947660954,0.013154238073182029,10795,1772,142,5.433833360671997,12.003
-0.14,73,0.07848756586854026,0.0379957474345937,10817,849,411,5.3195436000823975,11.997
-0.14,85,0.1529400853273975,0.011778890743832314,10782,1649,127,5.44517707824707,12.005
-0.18,119,0.16351490236382324,0.0029804727646454265,9730,1591,29,5.359888076782227,12.001
-0.16,80,0.18482630656633336,0.005051025667456964,9701,1793,49,5.34104585647583,11.999
-0.18,95,0.19321610654458432,0.0018728540214337738,9611,1857,18,5.4133217334747314,12.0
-0.14,94,0.17190440346255176,0.003481369966127211,10628,1827,37,5.358043193817139,11.997
-0.16,79,0.19374870627199337,0.007037880356033948,9662,1872,68,5.365142583847046,11.997
-0.16,78,0.18041987112866348,0.0066514238204115565,9622,1736,64,5.2932963371276855,11.999
-0.18,50,0.19541438788388726,0.0027345393352965924,9508,1858,26,5.367687225341797,11.997
-0.18,97,0.18723267750213857,0.0029940119760479044,9352,1751,28,5.409733295440674,12.007
-0.16,112,0.18916675313894366,0.005603403548822248,9637,1823,54,5.375230312347412,11.999
-0.14,76,0.16150252645628754,0.011059204881304224,10489,1694,116,5.352034568786621,12.0
