act_RF_mW,RF_set_dBm,peak_idx,amp,mu,sigma
13.387943167997838,1.6,4,0.0124623984854027,123.85589433712208,1.079417422850526
13.747262797958856,1.8,0,0.0180712642855669,50.68333410033033,1.218126356081774
13.747262797958856,1.8,1,0.0608873523954526,60.72087287580815,1.091579487316755
13.747262797958856,1.8,2,0.0179700591490276,73.24474572531808,0.7939595545707888
13.747262797958856,1.8,3,0.0618793523595573,112.94988449507105,0.5490413450453737
13.747262797958856,1.8,4,0.0110702355197528,122.20636320591396,0.5000000000000001
13.747262797958856,1.8,5,0.0338813595834872,124.01690954586034,0.5000000000000001
14.025764881541932,2.0,0,0.0193225280210368,50.16511886628899,0.5000000000000001
14.025764881541932,2.0,1,0.0336341770066758,62.08277337505479,0.9949030428150812
14.025764881541932,2.0,2,0.0260938242930001,74.99003971484828,0.5000000000000001
14.025764881541932,2.0,3,0.0500949847922713,113.69065389449706,0.5480425329106356
14.025764881541932,2.0,4,0.0191201930120875,125.28181429789056,0.5000000000000001
14.24000374861765,2.2,0,0.0328809427565565,50.57980776514942,0.5000000000000001
14.24000374861765,2.2,1,0.0312536052060367,63.32444837651611,0.5000000000000001
14.24000374861765,2.2,2,0.0282387555346446,75.68755575897605,0.5000000000000001
14.24000374861765,2.2,3,0.0695006526002503,115.01492074659204,0.5000000000000001
14.24000374861765,2.2,4,0.0184777168111003,126.89509792324458,0.5000000000000001
14.674560810067584,2.5,0,0.0228135682658195,51.12771277051976,1.9826418986329744
14.674560810067584,2.5,1,0.046971113681523,64.26625792898143,0.5000000000000001
14.674560810067584,2.5,2,0.0237025539656135,76.22547166103293,0.9355718082638764
14.674560810067584,2.5,3,0.0518924881027418,116.56067913004829,0.5000000000000001
14.674560810067584,2.5,4,0.0248838780647438,128.36255450007795,0.5000000000000001
14.674560810067584,2.5,5,0.0082981602454093,139.99999999999997,0.5000000000000001
15.410784269205204,3.0,0,0.014569534143794,52.29841217779404,0.5000000000000001
15.410784269205204,3.0,1,0.0393506436775568,65.64788307923935,0.5000000000000001
15.410784269205204,3.0,2,0.0161611608578191,78.43975700010296,1.0897791443946336
15.410784269205204,3.0,3,0.0342804767442986,117.84788987752415,0.6399994393476208
15.410784269205204,3.0,4,0.0178591211480669,131.18088685895316,0.5000000000000001
16.125294035367475,3.6,0,0.0131126104614438,53.385259371868166,0.5000000000000001
16.125294035367475,3.6,1,0.0300382732008226,67.25373769919648,0.5341063393172646
16.125294035367475,3.6,2,0.0261149445702527,79.93941083580671,0.7076989971343648
16.125294035367475,3.6,3,0.0455480454333296,120.59649987723591,0.7002297393174642
16.125294035367475,3.6,4,0.0159430666035209,133.51768972981014,0.5000000000000001
17.205557098728786,4.3,0,0.0072326158496435,54.53767805969802,0.7602094961705048
17.205557098728786,4.3,1,0.02802783043287,68.52453653725188,3.8946525934548526
17.205557098728786,4.3,2,0.0174399778968148,82.00035033710013,0.6871130057513734
17.205557098728786,4.3,3,0.0420958746156117,124.10421480791943,0.739504025902543
17.894697131323394,5.0,0,0.0086055286580361,50.87848380360703,0.5000000000000001
17.894697131323394,5.0,1,0.0084849496833065,70.50103246865764,0.6595146033398354
17.894697131323394,5.0,2,0.0069461735013365,84.87977768211003,0.5050434809604413
17.894697131323394,5.0,3,0.0048908527102485,105.61300032842117,0.5000000000000001
17.894697131323394,5.0,4,0.0346149579482797,126.35630024821302,0.5000000000000001
19.110589914501357,6.0,0,0.0051456508124738,51.73238207388798,0.7464144245094083
19.110589914501357,6.0,1,0.0170130510867739,74.84329599103306,2.9774410752508538
19.110589914501357,6.0,2,0.0077880146637683,87.09529944570671,0.5470848770036096
19.110589914501357,6.0,3,0.0404053507849257,129.75768219736472,0.5000000000000001
20.022043186152064,8.0,0,0.0084515302834743,52.53048482660159,0.5000000000000001
20.022043186152064,8.0,1,0.0045597400358304,55.400420890425096,0.5000000000000001
20.022043186152064,8.0,2,0.0108140578869097,75.39117986805044,1.9564521525181944
20.022043186152064,8.0,3,0.0098439931586696,79.30746126774783,0.8682498095594053
20.022043186152064,8.0,4,0.0090972421376232,90.83819515352948,1.6810842676103626
20.022043186152064,8.0,5,0.0044950351342937,105.02447783873431,0.5000000000000001
20.022043186152064,8.0,6,0.0259714878738059,129.84933950955826,0.568549692340196
