family_id,act_RF_mW,mu,sigma
3,11.734339133380656,105.88037923374856,1.96675113284461
3,11.378539683871784,104.75196993683412,0.5000000000000001
3,9.830563459564187,96.2255522424855,0.5000000000000001
4,16.125294035367475,133.51768972981014,0.5000000000000001
4,15.410784269205204,131.18088685895316,0.5000000000000001
4,14.674560810067584,128.36255450007795,0.5000000000000001
4,14.24000374861765,126.89509792324458,0.5000000000000001
4,14.025764881541932,125.28181429789056,0.5000000000000001
4,13.387943167997838,123.85589433712208,1.079417422850526
4,13.173081903542156,122.29255689740256,1.5077018942975489
4,12.83842079799632,122.3150491772826,0.6279328276770149
4,12.557789890791137,121.00850487332688,0.66764097144471
4,12.00092624945035,119.5758377009107,0.5000000000000001
4,11.734339133380656,118.46578046149858,0.5042096321649229
4,11.378539683871784,117.15529118443054,0.8622517688110996
5,13.173081903542156,129.98084195805097,1.275266190971828
5,12.83842079799632,128.5890886469077,0.8947303357763748
5,14.674560810067584,139.99999999999997,0.5000000000000001
5,12.557789890791137,124.60090176727822,1.0082619517546247
5,12.00092624945035,123.67892745659606,1.8248866073049188
5,11.734339133380656,121.05498257417698,0.5000000000000001
5,11.378539683871784,119.58912259475234,0.5258459364302233
5,11.092823386153531,117.5017951293345,0.5000000000000001
5,10.790574302568103,115.97909514458894,0.5000000000000001
6,12.00092624945035,136.71088137340627,0.578938878799081
6,11.378539683871784,134.61514814768103,0.6032845579049625
6,11.092823386153531,132.7037280717978,0.7351634696577447
6,10.790574302568103,129.53375716524414,0.697586542722805
6,9.830563459564187,122.6743421069112,0.5000000000000001
7,20.022043186152064,105.02447783873431,0.5000000000000001
7,12.83842079799632,103.01299843026035,1.0160893022484685
7,17.894697131323394,105.61300032842117,0.5000000000000001
7,11.734339133380656,101.40770686212709,0.7262433178283433
7,11.378539683871784,101.0789740667808,1.388329240157531
7,11.092823386153531,102.7817647896559,0.5694730548257545
7,10.790574302568103,102.45094842520317,0.9053874478253288
7,9.830563459564187,101.25239281171376,1.074748269880106
