tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
155,0.18795741849634065,0.006487025948103792,6012,1130,39,7.784313440322876,12.165
44,0.2,0.010051993067590987,5770,1154,58,7.815904140472412,12.164
139,0.18512285425782565,0.00858296869740828,5942,1100,51,7.8079540729522705,12.167
4,0.2050879944241157,0.004878898762850671,5739,1177,28,7.814581394195557,12.165
106,0.18621523579201935,0.018656071860424943,5789,1078,108,7.666998863220215,12.163
54,0.1905081334898541,0.00955894683883951,5963,1136,57,7.720085382461548,12.164
134,0.20124621084540248,0.006062647356012125,5938,1195,36,7.816395998001099,12.165
181,0.18822310481782076,0.006389224658953549,5791,1090,37,7.770040512084961,12.163
179,0.1963200540175557,0.005908170155300473,5924,1163,35,7.735019207000732,12.163
186,0.20319915626647916,0.0038671119704693268,5689,1156,22,7.816606283187866,12.162
50,0.2022389429253074,0.006973756652596807,5449,1102,38,7.718519687652588,12.162
81,0.17448471926083867,0.0255863539445629,5628,982,144,7.766383409500122,12.16
35,0.17542328504101937,0.026706231454005934,5729,1005,153,7.733881235122681,12.162
8,0.20183654729109274,0.005876951331496786,5445,1099,32,7.923088312149048,12.164
111,0.13972020541880645,0.040729590933238885,5647,789,230,7.701772212982178,12.162
92,0.19213444213444214,0.00848925848925849,5772,1109,49,7.934738397598267,12.163
84,0.18209989063069631,0.022785271600437477,5486,999,125,7.780517578125,12.159
177,0.2014550493677464,0.0051966048848085915,5773,1163,30,7.898207664489746,12.163
182,0.2052161976664379,0.0075497597803706245,5828,1196,44,7.789783477783203,12.162
90,0.19561787905346187,0.011744084136722174,5705,1116,67,7.909573078155518,12.165
9,0.21201413427561838,0.00530035335689046,5660,1200,30,7.852733612060547,12.163
14,0.19447287615148415,0.00511770726714432,5862,1140,30,7.845837116241455,12.162
60,0.18924991358451435,0.009505703422053232,5786,1095,55,7.788672685623169,12.162
172,0.20453318942255802,0.005036877136175571,5559,1137,28,7.923947095870972,12.163
132,0.19697508896797153,0.005516014234875445,5620,1107,31,7.778723478317261,12.165
18,0.19954569281845186,0.005242005940940066,5723,1142,30,7.849504232406616,12.163
73,0.09331880900508352,0.07316630355846042,5508,514,403,7.7804272174835205,12.164
176,0.20519435844513245,0.003955968352253182,5814,1193,23,7.941271781921387,12.162
135,0.2052128583840139,0.005734144222415291,5755,1181,33,7.851640939712524,12.163
168,0.2060919130744567,0.005878161738510866,5614,1157,33,7.837749481201172,12.167
184,0.2004116766467066,0.00467814371257485,5344,1071,25,7.740880250930786,12.163
64,0.18516542155816434,0.014941302027748132,5622,1041,84,7.941928386688232,12.167
55,0.19272727272727272,0.00909090909090909,5500,1060,50,7.768350839614868,12.162
108,0.16885925391962517,0.03297891511984141,5549,937,183,7.884258031845093,12.163
51,0.20670391061452514,0.00968342644320298,5370,1110,52,7.712329864501953,12.163
197,0.19786002455709525,0.004034379933345027,5701,1128,23,7.777271509170532,12.163
59,0.20011096726465694,0.011466617347882374,5407,1082,62,7.814173460006714,12.16
49,0.19408197022606138,0.007351589781290204,5441,1056,40,7.747347116470337,12.163
89,0.19440326167531505,0.01519644180874722,5396,1049,82,7.756519556045532,12.162
22,0.20032930845225028,0.005305525064032199,5466,1095,29,7.764598369598389,12.159
58,0.19341185130658814,0.01104158998895841,5434,1051,60,7.793760299682617,12.159
161,0.2053639846743295,0.008045977011494253,5220,1072,42,7.747488498687744,12.162
193,0.199127631329414,0.006637587710980467,5273,1050,35,7.7656872272491455,12.164
130,0.19302194710185705,0.008253610954792722,5331,1029,44,7.827955007553101,12.162
38,0.17981308411214952,0.01663551401869159,5350,962,89,7.72386360168457,12.162
158,0.1889600602863602,0.00546345139412208,5308,1003,29,7.731028318405151,12.162
194,0.20049084387389088,0.00641872758164999,5297,1062,34,7.854483604431152,12.162
2,0.2016285381930981,0.0058162078324932144,5158,1040,30,7.771947622299194,12.16
53,0.2027892951375801,0.008669430833019224,5306,1076,46,7.7699456214904785,12.163
150,0.19200908918765386,0.009657261882219277,5281,1014,51,7.857366561889648,12.164
131,0.20256265309967966,0.005087620124364048,5307,1075,27,7.748533248901367,12.163
152,0.1839258114374034,0.011205564142194745,5176,952,58,7.836411476135254,12.156
104,0.18676668590113482,0.011155991536834007,5199,971,58,7.840507745742798,12.162
100,0.1949833431314913,0.00725063688026651,5103,995,37,7.762494802474976,12.159
117,0.16949799580072533,0.01851498377552968,5239,888,97,7.901053190231323,12.163
88,0.19585030056234246,0.008919914679076983,5157,1010,46,7.845050573348999,12.164
75,0.09949027751557485,0.06588635076458373,5297,527,349,7.832681655883789,12.162
122,0.2066536203522505,0.007632093933463796,5110,1056,39,7.717108726501465,12.16
200,0.20334744132358598,0.0036552520200076955,5198,1057,19,7.716435432434082,12.16
21,0.20860740462319113,0.004510430370231159,5321,1110,24,7.83861780166626,12.16
189,0.19204927211646136,0.004479283314669653,5358,1029,24,7.74857759475708,12.171
72,0.13429712763933802,0.04032718280388054,5257,706,212,7.794498443603516,12.177
107,0.1742730953257269,0.02208317997791682,5434,947,120,7.777149438858032,12.177
15,0.2017274472168906,0.00345489443378119,5210,1051,18,7.821043491363525,12.17
93,0.20226597325408618,0.010958395245170876,5384,1089,59,7.7671825885772705,12.174
180,0.2049960348929421,0.00535289452815226,5044,1034,27,7.748897075653076,12.173
103,0.18661023470565602,0.011158137745286649,5198,970,58,7.91676926612854,12.167
