tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-5,80,54,90,0.10313207097773014,0.0053590568060021436,16794,1732,90,6.031162261962891,12.227
-5,80,27,90,0.08725873518277168,0.011977906038602371,16113,1406,193,5.831269025802612,12.231
-5,600,26,610,0.010248993963782696,0.03275905432595574,15904,163,521,10.113952398300171,12.231
-5,600,24,610,0.02220399924304548,0.03242288525831073,15853,352,514,10.130448579788208,12.224
-5,600,19,610,0.036771844660194175,0.017111650485436895,16480,606,282,10.16430401802063,12.226
-5,600,63,610,0.0249861529940304,0.028247892177980183,16249,406,459,10.053178071975708,12.226
-15,250,72,260,0.04915553314847492,0.021741870431056215,15868,780,345,6.56580376625061,12.226
-15,600,45,610,0.04156218655967904,0.01686308926780341,15952,663,269,10.062339544296265,12.228
-10,80,59,90,0.1056199708547171,0.00544890071596021,15783,1667,86,5.844189643859863,12.226
-15,600,65,610,0.03029536398709759,0.026880020239074064,15811,479,425,10.122932195663452,12.231
-15,80,36,90,0.10813838550247117,0.002767710049423394,15175,1641,42,5.445221900939941,12.228
-10,600,22,610,0.035036681001770806,0.020364280293448014,15812,554,322,10.132641553878784,12.227
-15,250,80,260,0.08031232571109871,0.012889632521534362,16137,1296,208,6.727553606033325,12.226
-10,250,67,260,0.05343511450381679,0.020770459790520147,16899,903,351,6.611961841583252,12.23
-10,600,58,610,0.035294829882552364,0.02203656617023853,16518,583,364,10.142696857452393,12.226
-15,80,50,90,0.10627511591962906,0.0035857805255023185,16175,1719,58,5.836911916732788,12.226
-10,600,37,610,0.04321437242049041,0.017965525613012866,16476,712,296,10.142899751663208,12.228
-15,80,26,90,0.09989491253013538,0.003956234159609322,16177,1616,64,5.748988151550293,12.226
-5,250,66,260,0.0469044330026372,0.03327891498179078,15926,747,530,6.630819320678711,12.226
-5,600,34,610,0.0371308538242926,0.019893735326825653,16186,601,322,10.081310510635376,12.224
-10,600,23,610,0.030772123339182753,0.024379543745299572,15956,491,389,10.162027835845947,12.227
-10,600,70,610,0.01282776834559517,0.0357165314720493,15903,204,568,10.089049816131592,12.23
-15,80,54,90,0.11317171972909677,0.003544528134692069,15799,1788,56,5.701311111450195,12.232
-5,250,38,260,0.07740130556419024,0.010444513521914828,16085,1245,168,6.62749171257019,12.228
-15,80,60,90,0.10776926075094193,0.0046121865661946215,15394,1659,71,5.574147701263428,12.224
-5,250,33,260,0.06008172647171498,0.015642957476695186,15662,941,245,6.649317979812622,12.23
-10,80,24,90,0.10387109199460744,0.006933299094819285,15577,1618,108,5.5819971561431885,12.23
-10,80,18,90,0.1074469437031389,0.004320752319227347,15738,1691,68,5.6985626220703125,12.228
-5,80,66,90,0.07310353664787289,0.02031009738595592,15608,1141,317,5.491464614868164,12.224
