RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
1,147,0.014925373134328358,0.004797441364605544,18760,280,90,7.942003965377808
1,186,0.021555459272097052,0.004224436741767764,18464,398,78,7.953685998916626
1,90,0.015750954603309292,0.004719983029274502,18856,297,89,8.046140670776367
4,124,0.04120922832140016,0.007743304163351896,18855,777,146,8.050795316696167
0,278,0.0021805031112056587,0.0024996011274796576,18803,41,47,7.971097469329834
6,73,0.038903721462431214,0.010842913965019343,18353,714,199,7.976632833480835
3,68,0.029877702667836317,0.007069508230558853,19379,579,137,8.124121189117432
1,166,0.020897992965032072,0.004241671839437203,19332,404,82,8.004921197891235
4,266,0.05953908535646461,0.008212287635374429,19483,1160,160,8.052869319915771
4,182,0.06230183893468611,0.008190657366307334,18924,1179,155,8.020902872085571
4,181,0.058783393691282215,0.006980528000839763,19053,1120,133,8.13261866569519
2,193,0.044738632201350007,0.005127936790330176,19111,855,98,7.986294507980347
4,261,0.057917138085232474,0.00705780938527019,18561,1075,131,8.042396306991577
0,51,0.0007530525523102577,0.0023667365929750956,18591,14,44,7.9532318115234375
4,35,0.0549278091650973,0.00674827369742624,19116,1050,129,8.104421854019165
1,131,0.006214027402842153,0.0037691641623796668,19633,122,74,7.9662206172943115
1,300,0.020552686225440604,0.004525850593685108,18781,386,85,8.043562650680542
3,57,0.04370910651077979,0.005363080553469913,18646,815,100,8.090147733688354
1,117,0.01806362231576704,0.003676666489049928,18767,339,69,7.96341872215271
0,30,0.0004321287743747637,0.0018905633878895912,18513,8,35,7.967767953872681
1,256,0.02128436538160572,0.004225572538995252,19169,408,81,7.985234975814819
1,249,0.020641240569991618,0.004348281642917016,19088,394,83,8.031184911727905
3,267,0.05786389314186157,0.006546644844517185,18941,1096,124,8.037582874298096
3,126,0.03441592456783656,0.006390780513357779,19090,657,122,7.972565174102783
3,32,0.019760903979474862,0.004803755663518751,18319,362,88,7.979751110076904
6,219,0.06461841242073037,0.007708287776076974,18292,1182,141,8.0642671585083
4,152,0.03409641799084298,0.007217883113385402,18565,633,134,8.033339500427246
3,85,0.044347919347919346,0.008848133848133849,18648,827,165,8.046427249908447
6,283,0.06394888612461834,0.008028949451543593,17686,1131,142,8.058464050292969
3,249,0.053991230387236515,0.005969676158275662,18929,1022,113,8.1295485496521
3,43,0.044201851554556644,0.005832931984802269,18687,826,109,8.088401079177856
4,77,0.05024424284717376,0.007407805035160234,18629,936,138,8.012709379196167
1,187,0.020430049868625663,0.0038607968255670545,18649,381,72,7.993681907653809
2,165,0.04388764762208745,0.004894137674220662,18798,825,92,8.054624557495117
0,37,0.001202843083652269,0.002186987424822307,18290,22,40,7.965138912200928
4,156,0.031161473087818695,0.00893440836783613,18356,572,164,8.057705640792847
2,297,0.04171111585235759,0.006294004693834009,18748,782,118,8.070607423782349
2,238,0.0465378421900161,0.005421363392377885,18630,867,101,8.084555387496948
6,235,0.06217705821563899,0.0074635434607876906,17418,1083,130,8.061996459960938
6,139,0.05773358942492374,0.00909501751214552,17702,1022,161,7.9954423904418945
1,184,0.018392332834746,0.00465348180156224,18051,332,84,8.016807079315186
0,156,0.0013315579227696406,0.0019174434087882823,18775,25,36,7.97926926612854
2,62,0.008653182566226044,0.004353134787917397,18837,163,82,8.02146053314209
1,176,0.019652385229013684,0.005177241270008981,18929,372,98,7.990451812744141
6,254,0.0628596481613416,0.008165725872746206,18247,1147,149,8.147047758102417
3,18,0.054265644270470266,0.006756394444742345,18649,1012,126,8.061176300048828
2,163,0.04192637579244579,0.00617974535187257,18771,787,116,7.988419532775879
6,105,0.028434187279151944,0.016232332155477033,18112,515,294,7.989085912704468
3,200,0.05284641341025362,0.006095569826929357,18374,971,112,8.126983880996704
4,254,0.06045611015490534,0.006992254733218589,18592,1124,130,8.051232099533081
1,170,0.016826923076923076,0.004006410256410256,18720,315,75,7.937367916107178
4,178,0.05450098367629074,0.007018663263678417,18807,1025,132,8.056483745574951
6,59,0.0538546866333888,0.008985024958402662,18030,971,162,8.077768087387085
0,175,0.0014035845389764629,0.0029691211401425177,18524,26,55,7.99491548538208
0,255,0.0009236620483564249,0.0022819885900570496,18405,17,42,8.057831525802612
4,188,0.05273280974515147,0.007266121707538601,18717,987,136,8.024091720581055
2,244,0.04269758991075723,0.005076684657724577,18713,799,95,8.079280853271484
2,243,0.04384672070744289,0.0040004210969575744,18998,833,76,8.038400888442993
0,91,0.00010814902936246147,0.0025415021900178445,18493,2,47,7.9903528690338135
0,11,0.001254157805769126,0.001963029609029936,18339,23,36,7.942622900009155
6,101,0.05032272805163649,0.010624321699891472,17507,881,186,8.062850952148438
2,59,0.0007560619970837609,0.005562456121401955,18517,14,103,7.966177940368652
3,127,0.02103825136612022,0.0053005464480874315,18300,385,97,7.940124273300171
2,99,0.030399298899052418,0.0063537273374596045,18257,555,116,8.092976093292236
0,269,0.000778296642205915,0.0025016677785190127,17988,14,45,7.985430479049683
4,37,0.05020737830168086,0.0054027504911591355,18324,920,99,8.01464033126831
4,36,0.05411610364053788,0.006723515906854706,18294,990,123,8.063601016998291
1,30,0.0037721408265908593,0.0037174721189591076,18292,69,68,8.043371438980103
4,210,0.05679899798507869,0.007406197244458967,18363,1043,136,7.965585947036743
3,147,0.016476215785277703,0.005261759234653203,18815,310,99,8.012187004089355
3,286,0.054014677314914744,0.005665875242823225,18532,1001,105,8.016211748123169
6,237,0.06281786173363885,0.00871849326552283,17893,1124,156,8.141780376434326
1,178,0.014540026536930562,0.0037593984962406013,18088,263,68,7.999276399612427
