no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,loading_signal baseline,trapped_signal baseline,lost_signal baseline,ratio_signal baseline,ratio_lost baseline,trapped_signal detrended,lost_signal detrended,ratio_signal detrended,ratio_lost detrended
12000,12.161,0.1891891892,0.0112341257,6142,1162,69,5.8701074123,638.36671758,5822.9850596,1181.0021625,55.10892799,0.2028875921,0.0094659126,0.9839101374,1.2520657272,0.932482796,1.1867979584
6000,12.162,0.2220394737,0.0082236842,3040,675,25,3.0830416679,641.44975924,3028.796923,619.39304809,27.017923718,0.2047710735,0.0089163685,1.0897765193,0.9253116657,1.0843302713,0.9223131799
12000,12.161,0.2058773279,0.0068341022,5853,1205,40,5.8986368179,647.34839606,5821.1373888,1180.5384353,55.11788591,0.2028708751,0.0094709977,1.0207206847,0.7257172393,1.0148195388,0.7215820741
4000,12.155,0.2003891051,0.0087548638,2056,412,18,2.1933903694,649.54178643,2035.3967151,414.28009914,19.683916606,0.2041157873,0.0096160608,0.9944962378,0.9144521571,0.9817423124,0.9104418149
1500,12.165,0.2153284672,0.0072992701,548,118,4,1.0170142651,650.5588007,535.35659439,108.20751085,4.7661669586,0.2021443128,0.0089854953,1.0904973146,0.8392488208,1.0652214953,0.8123392054
6000,12.159,0.1975151322,0.0111500478,3139,620,35,3.1336545944,653.69245529,3027.4630438,619.03961585,27.021900886,0.2047414535,0.0089221477,1.0015514098,1.2952456656,0.9647051384,1.2497044645
8000,12.165,0.1963645673,0.0081925243,3906,767,32,4.0347540379,657.72720933,3970.5491425,794.0527534,36.750320784,0.2000957098,0.0092579134,0.9659307857,0.8707406988,0.9813532112,0.8849212529
1000,12.161,0.193359375,0.005859375,512,99,3,0.8361737728,658.5633831,535.95983901,103.4957294,4.6106806614,0.1930260014,0.0086359271,0.9565612086,0.6506631494,1.0017270918,0.6784882402
3000,12.162,0.197384807,0.0062266501,1606,317,10,1.6962046623,660.25958776,1567.3958628,307.03617484,15.077557407,0.1959077611,0.0096143943,1.0324516327,0.6632374018,1.0075394963,0.6476383119
1000,12.166,0.1903914591,0.0053380783,562,107,3,0.7764558792,661.03604364,535.90973791,103.48716793,4.6108486409,0.193029051,0.0086370802,1.0339446149,0.6506394449,0.9863357776,0.6180419984
4000,12.162,0.1915998112,0.0094384143,2119,406,20,2.2414457798,663.27748942,2034.5678217,414.05268888,19.685271339,0.2040821545,0.0096214072,0.9805515358,1.0159880276,0.9388366746,0.9809806549
4000,12.162,0.2120911794,0.0074331021,2018,428,15,2.1498167515,665.42730618,2034.4380891,414.01709621,19.685483373,0.2040768905,0.009622244,1.0337737352,0.7619828132,1.0392709282,0.7724915396
6000,12.159,0.2068045364,0.005670447,2998,620,17,3.1079361439,668.53524232,3025.8458768,618.61112203,27.026722721,0.2047055428,0.0089291542,1.0022451552,0.6290070822,1.0102537213,0.6350486103
4000,12.162,0.2108641975,0.0079012346,2025,427,16,2.1796395779,670.7148819,2034.1190056,413.92955435,19.686004879,0.2040639435,0.0096243021,1.0315764978,0.8127601359,1.0333241334,0.8209670134
3000,12.158,0.1881377551,0.0102040816,1568,295,16,1.7854044437,672.50028634,1566.6785707,306.90639054,15.074615229,0.1959171699,0.0096172103,0.9612051397,1.0613869579,0.9602923275,1.0610230355
1000,12.162,0.2070175439,0.0070175439,570,118,4,0.7967505455,673.29703689,535.66130542,103.44471482,4.6116815876,0.1930441726,0.0086427977,1.1407059336,0.8673625713,1.0723843204,0.8119528078
3000,12.161,0.2024421594,0.0096401028,1556,315,15,1.6236245632,674.92066145,1566.5367392,306.88072806,15.074033467,0.1959190303,0.0096177671,1.0264574188,0.9950886757,1.0332950252,1.0023223418
60000,12.165,0.2036058113,0.0092770873,28565,5816,265,28.047193527,702.96785498,28027.773903,5673.5693001,259.67173715,0.2024453944,0.0092426089,1.0251042496,1.0205192252,1.0057319995,1.0037303757
6000,12.159,0.2079617834,0.0082802548,3140,653,26,3.0855982304,706.05345321,3021.7581531,617.52801538,27.038910906,0.2046147711,0.0089468646,1.0574419034,0.9615771911,1.0163576282,0.9254923513
30000,12.163,0.2024344699,0.0074693962,14459,2927,108,14.125495434,720.17894864,14338.135623,2919.1668388,132.29881769,0.2036494083,0.0092122962,1.0026833551,0.8163338258,0.9940341665,0.8108072105
12000,12.162,0.2031170591,0.008300864,5903,1199,49,5.8797802925,726.05872893,5804.9454502,1176.4745937,55.196388032,0.2027243762,0.0095155611,1.0191465301,0.8877392479,1.0019370285,0.8723462409
40000,12.165,0.2063625387,0.0090293454,19049,3931,172,18.775729895,744.83445883,18974.995262,3863.1563427,178.89116546,0.2035810142,0.0094179227,1.0175617167,0.9614784473,1.0136629858,0.9587406557
6000,12.159,0.1984475194,0.0087748903,2963,588,26,3.1482169628,747.98267579,3017.1898363,616.317568,27.052532054,0.2045133274,0.0089666573,0.9540536089,0.96109303,0.9703402803,0.978613329
1500,12.161,0.1920792079,0.001980198,505,97,1,1.0082645416,748.99094033,533.44535299,107.66228002,4.7581281823,0.2018216001,0.0090014514,0.9009655004,0.2101666793,0.9517277033,0.2199865264
3000,12.161,0.2083333333,0.0076923077,1560,325,12,1.6933040619,750.68424439,1562.0970724,306.07743047,15.055822908,0.1959772658,0.0096351968,1.0618228188,0.797033817,1.0630484738,0.7983550173
40000,12.161,0.2136438356,0.0098630137,18250,3899,180,18.822971106,769.5072155,18954.972469,3858.1986541,178.9151933,0.2035295483,0.0094307853,1.010575232,1.0060632453,1.0496944418,1.0458316433
8000,12.162,0.1935736677,0.012800418,3828,741,49,3.9888057709,773.49602127,3952.7658897,790.49638055,36.84306659,0.2000970519,0.0093304533,0.9373856962,1.329965297,0.9673988989,1.3718966847
2000,12.165,0.2084980237,0.0088932806,1012,211,9,1.3184485435,774.81446981,1061.4789116,216.15561994,10.296720373,0.2042276799,0.0096584561,0.9761485732,0.8740647191,1.0209097208,0.9207766278
40000,12.162,0.2031905961,0.0097607053,19056,3872,186,18.742431879,793.55690169,18935.455319,3853.3661639,178.93861435,0.2034793821,0.0094433231,1.0048357294,1.039462615,0.9985807604,1.0336091625
30000,12.155,0.1995148575,0.0099723738,14841,2961,148,14.093087435,807.64998913,14284.683019,2906.6575548,132.342536,0.20352025,0.0092557205,1.018695854,1.1183101403,0.98031944,1.0774281544
22000,12.161,0.2049751244,0.01076436,11055,2266,119,10.477669716,818.12765884,10380.359961,2117.7581243,95.563738362,0.2041497558,0.0091994169,1.0699994367,1.2452422021,1.0040429563,1.1701132927
8000,12.157,0.2008472464,0.0117119362,4013,806,47,4.049642086,822.17730093,3945.2879561,789.00091058,36.882066598,0.2000976163,0.0093609567,1.0215450821,1.2743320626,1.0037463222,1.2511473589
40000,12.158,0.197080292,0.0091897285,19043,3753,175,18.740444899,840.91774583,18897.020361,3843.8495818,178.98473723,0.2033805903,0.0094680137,0.9763649488,0.9777369999,0.9690221259,0.9706078605
2000,12.159,0.2098991751,0.0082493126,1091,229,9,1.3211328983,842.23887873,1059.0512274,215.46824216,10.273557508,0.204008961,0.009659737,1.0628016348,0.8760353941,1.02887233,0.8539893544
12000,12.163,0.2011533243,0.0118724559,5896,1186,70,5.8704314232,848.10931015,5779.8377491,1170.1730802,55.318115755,0.2024972108,0.0095846625,1.013525281,1.2654082491,0.9933634321,1.2386931682
15000,12.165,0.1959302326,0.0104651163,6880,1348,72,7.2190909386,855.32840109,7141.8826342,1465.0736185,67.400808187,0.2050798211,0.0094476388,0.9200902828,1.068236449,0.9553852323,1.1076964826
60000,12.161,0.2015141636,0.0093095704,27606,5563,257,27.963915348,883.29231644,27840.780908,5630.1410759,260.60238007,0.2022258555,0.0093506209,0.9880747081,0.9861767185,0.9964807077,0.9956098663
60000,12.157,0.203539823,0.0095779162,27459,5589,263,28.016297817,911.30861425,27811.728546,5623.3938046,260.74697038,0.2021917466,0.0093674022,0.9938837994,1.0086406742,1.0066673168,1.0224730312
3000,12.162,0.180625,0.010625,1600,289,17,1.7554132938,913.06402755,1552.5817868,304.3557684,15.016793252,0.1961020786,0.0096725529,0.949546649,1.1320659288,0.9210764172,1.0984690557
2000,12.161,0.2088974855,0.0087040619,1034,216,9,1.290293932,914.35432148,1056.4546377,214.73304025,10.248783093,0.2037750248,0.009661107,1.0059001621,0.8781530371,1.025137824,0.9009383592
60000,12.157,0.2024896575,0.0098766352,26831,5433,265,28.036782265,942.39110374,27779.496603,5615.9080907,260.9073851,0.2021539047,0.0093860202,0.9674303625,1.015686083,1.001660877,1.0522708228
12000,12.162,0.2051976178,0.0102869518,5541,1137,57,5.8761174679,948.26722121,5759.2337105,1165.0018928,55.41800872,0.2023107928,0.0096413688,0.9759640796,1.0285465197,1.0142692581,1.0669596812
10000,12.159,0.2025514772,0.0080572963,4468,905,36,4.9047589302,953.17198014,4862.307144,977.70634235,46.257698114,0.2011656239,0.0095143008,0.9256358078,0.7782488422,1.006889116,0.8468616362
4000,12.163,0.2209429825,0.0104166667,1824,403,19,2.1601202488,955.33210039,2016.9435242,409.21739102,19.714076277,0.2033670374,0.0097350857,0.9848066305,0.9637783548,1.0864247486,1.0700128334
10000,12.159,0.2035341707,0.0089418778,4697,956,42,4.9781713486,960.31027174,4860.9122109,977.39654718,46.262672553,0.2011590039,0.0095185062,0.9781086323,0.9078593536,1.01180741,0.939420288
30000,12.161,0.2040063639,0.009473532,13828,2821,131,14.176896095,974.48716784,14182.730628,2882.7980736,132.42592175,0.2032739008,0.0093385453,0.9785631626,0.9892323064,1.0036033307,1.0144547828
4000,12.157,0.2038404727,0.011816839,2031,414,24,2.1991717815,976.68633962,2015.6548835,408.86384719,19.716182416,0.20331475,0.0097433976,1.0125620126,1.217274191,1.0025857579,1.2128047613
12000,12.159,0.2104806524,0.0104112441,5763,1213,60,5.895929575,982.58226919,5752.1745719,1163.2301951,55.452232995,0.2022469243,0.009660797,1.0427858606,1.0820123331,1.040711265,1.077679634
1500,12.157,0.1755424063,0.0098619329,507,89,5,1.1216230392,983.70389223,528.88796843,106.36216874,4.7389595965,0.2010520866,0.009039499,0.8367636826,1.0550839057,0.8731190474,1.0909822491
6000,12.155,0.2038539554,0.0074374577,2958,603,22,3.1211388111,986.82503104,2991.167232,609.42246992,27.130122501,0.2039354713,0.0090794025,0.9894613831,0.8109067697,0.9996002856,0.8191571786
10000,12.158,0.2004273504,0.0104700855,4680,938,49,4.9196226597,991.7446537,4854.769444,976.03232443,46.284578133,0.2011298522,0.009537025,0.961033745,1.0586679619,0.9965072229,1.0978355848
