no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6000,12.144,0.21110299488677867,0.010226442658875092,2738,578,28,3.1659929752349854
2000,12.142,0.2173469387755102,0.009183673469387756,980,213,9,1.305051326751709
8000,12.144,0.1816261879619852,0.010295670538542767,3788,688,39,4.109556198120117
3000,12.143,0.17955615332885003,0.012777404169468728,1487,267,19,1.7241933345794678
12000,12.146,0.19842829076620824,0.010537595999285587,5599,1111,59,5.817692041397095
6000,12.148,0.20035906642728904,0.00718132854578097,2785,558,20,3.0973196029663086
12000,12.151,0.1932880982945168,0.011369888134971575,5453,1054,62,5.964170217514038
4000,12.151,0.19047619047619047,0.009834368530020704,1932,368,19,2.163848876953125
1500,12.153,0.1713221601489758,0.0037243947858473,537,92,2,1.0725295543670654
6000,12.153,0.1983750846310088,0.008463100880162491,2954,586,25,3.109036445617676
8000,12.153,0.20689655172413793,0.010157711841753542,3741,774,38,4.1156439781188965
1000,12.151,0.17348927875243664,0.017543859649122806,513,89,9,0.7998974323272705
3000,12.153,0.1835564053537285,0.005098789037603569,1569,288,8,1.7329211235046387
1000,12.153,0.2018348623853211,0.007339449541284404,545,110,4,0.9374849796295166
4000,12.15,0.19218241042345277,0.011633317822242903,2149,413,25,2.2582688331604004
4000,12.153,0.19714144898965008,0.010842779694430755,2029,400,22,2.147749662399292
6000,12.153,0.19495569188820722,0.011929107021131561,2934,572,35,3.1219656467437744
4000,12.152,0.19764464925755248,0.010240655401945725,1953,386,20,2.163623571395874
3000,12.15,0.15450361604207757,0.009861932938856016,1521,235,15,1.7328970432281494
1000,12.153,0.16760828625235405,0.013182674199623353,531,89,7,0.8143699169158936
3000,12.151,0.1943532501641497,0.013131976362442548,1523,296,20,1.6999406814575195
60000,12.151,0.19833140899102386,0.01080114715631867,26849,5325,290,27.998114347457886
6000,12.15,0.17750439367311072,0.011599297012302284,2845,505,33,3.0791945457458496
30000,12.153,0.20724392494617042,0.011458012919101816,13004,2695,149,14.170597791671753
12000,12.153,0.20701438848920864,0.009532374100719424,5560,1151,53,5.828957557678223
40000,12.153,0.1974309642372114,0.009959257582616569,17672,3489,176,18.735574960708618
6000,12.153,0.21005706134094151,0.015335235378031383,2804,589,43,3.1444814205169678
1500,12.148,0.20272904483430798,0.015594541910331383,513,104,8,1.1077370643615723
3000,12.155,0.20232708468002586,0.00904977375565611,1547,313,14,1.7536506652832031
40000,12.151,0.1943680563194368,0.010669893301066989,18182,3534,194,18.76053476333618
8000,12.153,0.21025915041410634,0.0112209457654288,3743,787,42,4.0110228061676025
2000,12.155,0.18353174603174602,0.013888888888888888,1008,185,14,1.2752113342285156
40000,12.151,0.19077590884427564,0.01068909386869235,18430,3516,197,18.776609420776367
30000,12.153,0.19522981006234594,0.01087429317094389,13794,2693,150,14.204464673995972
22000,12.15,0.19012005510726235,0.007478842747490651,10162,1932,76,10.482626676559448
8000,12.151,0.19209197980931014,0.012058328659562535,3566,685,43,4.003904342651367
40000,12.153,0.19463392451114142,0.010686675761709868,17592,3424,188,18.77168297767639
2000,12.15,0.1791907514450867,0.011560693641618497,1038,186,12,1.350661039352417
12000,12.153,0.19170423805229936,0.010820559062218215,5545,1063,60,5.8696208000183105
15000,12.148,0.21144927536231883,0.008405797101449276,6900,1459,58,7.4174485206604
60000,12.15,0.19822345189122284,0.009610834031089591,27469,5445,264,27.957778692245483
60000,12.153,0.18904884687007592,0.010349520126056439,27924,5279,289,28.000291109085083
3000,12.151,0.19289340101522842,0.010786802030456852,1576,304,17,1.6924464702606201
2000,12.153,0.20365296803652969,0.010958904109589041,1095,223,12,1.2311451435089111
60000,12.152,0.19503308796193025,0.010893003197263737,26898,5246,293,28.064952611923218
12000,12.15,0.18956675508399645,0.008664898320070735,5655,1072,49,5.8530333042144775
10000,12.151,0.20642303433001108,0.012624584717607974,4515,932,57,4.979544401168823
4000,12.151,0.2012847965738758,0.010706638115631691,1868,376,20,2.170929431915283
10000,12.15,0.20237295724199686,0.009850011193194537,4467,904,44,5.005818128585815
30000,12.151,0.20425467484291013,0.009993186463774699,13209,2698,132,14.133141279220581
4000,12.148,0.20875600640683395,0.013881473571809931,1873,391,26,2.227661371231079
12000,12.153,0.20189850310332239,0.01022270901788974,5478,1106,56,5.8838207721710205
1500,12.15,0.20901639344262296,0.00819672131147541,488,102,4,1.1105937957763672
6000,12.147,0.19230769230769232,0.010302197802197802,2912,560,30,3.120683431625366
10000,12.151,0.20393120393120392,0.010944829126647309,4477,913,49,4.904829263687134
4000,12.151,0.20519761775852735,0.01353546291283162,1847,379,25,2.138592004776001
2000,12.15,0.21651560926485397,0.006042296072507553,993,215,6,1.2863738536834717
6000,12.151,0.21624629080118693,0.01112759643916914,2696,583,30,3.115248441696167
12000,12.15,0.18839501580807141,0.008926910916868142,5377,1013,48,5.8211610317230225
22000,12.148,0.2044702816477899,0.009020747719755437,9977,2040,90,10.437467575073242
