Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,Predicted loading_signal,Detrended_loading_signal
0.1983967936,-0.062124248,-0.235671343,0,0.0002718278,18394,0,5,6.9678339958,488.3495338,22464.560412,0.8188007983
0.1462925852,0.0973947896,0.3639278557,0,0.0003975691,35214,0,14,11.809701443,500.15923524,22471.194834,1.5670728798
0.3587174349,-0.175951904,-0.386372745,0,0.0007032798,15641,0,11,6.3071813583,506.4664166,22474.536004,0.6959431775
0.8076152305,-0.183166333,-0.033667335,0,0.0005435964,18396,0,10,6.9801592827,513.44657588,22478.069669,0.818397677
0.879759519,-0.15751503,0.1298597194,0,0.0004483635,20073,0,9,7.5070316792,520.95360756,22481.677745,0.8928604096
-0.867735471,0.0420841683,0.5210420842,0,0.000334714,23901,0,8,8.608733654,529.56234121,22485.569996,1.0629483711
-0.903807615,0.021242485,-0.50501002,0,0.0009199632,11957,0,11,6.2165365219,535.77887774,22488.217695,0.5317006515
-0.146292585,-0.163927856,0.5018036072,0.0000515677,0.0004641089,38784,2,18,12.847256422,548.62613416,22493.256403,1.7242501177
-0.382765531,-0.006012024,0.1362725451,0.0039655264,0.0010574737,18913,75,20,7.2280058861,555.85414004,22495.834644,0.8407334202
-0.915831663,-0.107815631,0.4793587174,0.0000446708,0.0006253909,22386,1,14,8.1541233063,564.00826335,22498.521434,0.9949987187
0.5551102204,0.1022044088,0.4280561122,0.0000302526,0.000544547,33055,1,18,11.096539259,575.10480261,22501.80001,1.468993591
-0.058116232,-0.167134269,-0.283767535,0,0.0002793491,14319,0,4,6.2675528526,581.37235546,22503.459369,0.6363021687
-0.278557114,-0.153507014,-0.415230461,0,0.0010826416,11084,0,12,6.1026098728,587.47496533,22504.941567,0.4925140537
-0.49498998,-0.111022044,-0.623647295,0,0.0006901992,10142,0,7,6.2661373615,593.7411027,22506.32643,0.4506288501
-0.919839679,0.0036072144,0.3350701403,0,0.0003959024,20207,0,8,7.3713297844,601.11243248,22507.777784,0.8977785454
-0.911823647,-0.173547094,0.2420841683,0.0000714031,0.0009282399,14005,1,13,6.2399830818,607.35241556,22508.856194,0.6221995413
0.9158316633,-0.111823647,0.1523046092,0.0000535676,0.0003214056,18668,1,6,7.1901090145,614.54252458,22509.928051,0.8293229529
-0.126252505,0.1671342685,-0.8,0,0.000850998,12926,0,11,6.2250242233,620.7675488,22510.708366,0.574215604
-0.270541082,0.0260521042,-0.575551102,0,0.0011104531,13508,0,15,6.2217774391,626.98932624,22511.351333,0.6000528267
0.4749498998,0.071743487,-0.014428858,0,0.0003910178,17902,0,7,6.9421892166,633.93151546,22511.907146,0.7952236069
0.1543086172,-0.037274549,0.7743486974,0.0000241057,0.0002892682,41484,1,12,13.559311152,647.49082661,22512.501176,1.8427095095
-0.426853707,-0.038877756,-0.251703407,0,0.0003728097,16094,0,6,6.4416103363,653.93243694,22512.555553,0.7148899627
-0.374749499,-0.078156313,0.0529058116,0.0016039482,0.0004935225,16210,26,8,6.4253513813,660.35778832,22512.463596,0.7200455841
0.4348697395,0.0404809619,0.7839679359,0.0000245224,0.000343314,40779,1,14,13.344116688,673.70190501,22511.806126,1.8114495022
-0.735470942,0.1198396794,0.3831663327,0,0.0003833821,28692,0,11,9.8479235172,683.54982853,22510.91704,1.2745815708
-0.294589178,-0.175150301,0.376753507,0,0.0003198294,28140,0,9,9.9269340038,693.47676253,22509.673691,1.2501291838
0.2424849699,0.0132264529,0.5947895792,0,0.000538042,40889,0,22,13.62514925,707.10191178,22507.399683,1.8166914248
-0.20240481,-0.099799599,-0.681362725,0,0.0008198961,10977,0,9,6.2261564732,713.32806826,22506.14199,0.4877335265
0.3106212425,-0.191182365,0.1042084168,0,0.0003284072,21315,0,7,7.816999197,721.14506745,22504.368826,0.9471494253
-0.947895792,-0.01002004,-0.248496994,0,0.0008464794,12995,0,11,6.2354741096,727.38054156,22502.799458,0.5774837048
-0.871743487,0.1919839679,-0.514629259,0.000080795,0.0005655652,12377,1,7,6.1970160007,733.57755756,22501.10353,0.5500619107
-0.370741483,-0.144689379,0.6268537074,0,0.0003177905,34614,0,11,11.574387074,745.15194464,22497.572251,1.5385660112
0.995991984,-0.133466934,-0.226052104,0.0000970921,0.0008738288,20599,2,18,7.6255536079,752.77749825,22494.986838,0.915715139
0.3667334669,0.1687374749,-0.508216433,0,0.0012728314,15713,0,20,6.443123579,759.22062182,22492.64203,0.6985840071
0.4308617234,-0.167935872,-0.004809619,0.0000528318,0.0004754861,18928,1,9,7.1516394615,766.37226129,22489.867451,0.8416234574
0.4789579158,-0.058917836,-0.764729459,0,0.0004308178,13927,0,6,6.2850768566,772.65733814,22487.27973,0.6193279119
0.2625250501,-0.143887776,-0.306212425,0.0000590563,0.0004724502,16933,1,8,6.6576764584,779.3150146,22484.386226,0.7531003884
-0.286573146,0.0749498998,-0.751903808,0,0.0005513113,12697,0,7,6.2587988377,785.57381344,22481.523125,0.5647749011
0.6152304609,-0.051703407,0.7326653307,0,0.0004129139,38749,0,16,12.628686428,798.20249987,22475.324315,1.7240685588
-0.595190381,-0.19759519,-0.604408818,0,0.0010984183,9104,0,10,6.2497417927,804.45224166,22472.047983,0.4051255145
0.8877755511,0.0725450902,0.7935871743,0.0000244726,0.0002936714,40862,1,12,13.290629387,817.74287105,22464.621331,1.8189489775
-0.567134269,0.1238476954,0.7358717435,0.0000328429,0.0001970573,30448,1,6,10.421329021,828.16420007,22458.361039,1.3557534295
-0.667334669,-0.185571142,0.0945891784,0.0000704821,0.0007753031,14188,1,11,6.1534249783,834.31762505,22454.484205,0.6318559745
0.3827655311,-0.0749499,-0.626853707,0,0.0004630242,15118,0,7,6.3465595245,840.66418457,22450.345405,0.6733972118
0.4228456914,0.0308617234,0.2068136273,0,0.0003176494,25185,0,8,8.8147406578,849.47892523,22444.360698,1.1221081473
0.1663326653,0.1879759519,0.0496993988,0,0.0007458405,17430,0,13,7.0099182129,856.48884344,22439.405204,0.7767585567
-0.883767535,0.1943887776,0.2132264529,0.0000629644,0.0004407505,15882,1,7,6.5373055935,863.02614903,22434.627204,0.7079235084
-0.631262525,0.0012024048,0.7166332665,0,0.0006970942,27256,0,19,9.5425732136,872.56872225,22427.381369,1.2153001526
-0.643286573,0.1719438878,0.4344689379,0.0000317521,0.0005080333,31494,1,16,10.747201204,883.31592345,22418.835242,1.4048009034
0.7034068136,0.0492985972,-0.588376754,0,0.0004061738,17234,0,7,6.7846307755,890.10055423,22413.229795,0.7689208631
-0.310621242,-0.11743487,0.7711422846,0,0.0003817627,36672,0,14,12.43400526,902.53455949,22402.534281,1.6369576558
0.9118236473,-0.041282565,-0.75511022,0.0000656082,0.0004592573,15242,1,7,6.4128434658,908.94740295,22396.804341,0.6805435172
0.0621242485,0.1583166333,-0.354308617,0,0.0005775339,13852,0,8,6.3321869373,915.27958989,22391.003758,0.6186413146
0.623246493,0.1046092184,-0.37995992,0,0.0002689076,14875,0,4,6.3943305016,921.67392039,22385.002346,0.664507413
0.2785571142,-0.098997996,-0.716633267,0,0.000565931,12369,0,7,6.2377300262,927.91165042,22379.008576,0.5527054498
0.5951903808,-0.066933868,0.3158316633,0,0.0003778433,26466,0,10,9.391071558,937.30272198,22369.725252,1.1831169003
0.6673346693,-0.101402806,0.5274549098,0.0000259457,0.0003632401,38542,1,14,12.682008743,949.98473072,22356.69374,1.7239579541
0.3426853707,-0.090981964,0.0304609218,0,0.0006140306,19543,0,12,7.8190176487,957.80374837,22348.375778,0.8744707085
-0.390781563,0.025250501,0.2613226453,0,0.0006296486,25411,0,16,9.3488688469,967.15261722,22338.146526,1.1375608075
0.5631262525,-0.113426854,-0.142685371,0,0.0003725981,18787,0,7,7.3044755459,974.45709276,22329.939082,0.8413368228
-0.070140281,0.1142284569,0.7583166333,0,0.0004221091,42643,0,18,14.202311277,988.65940404,22313.440971,1.9110902731
0.3266533066,0.0468937876,0.6749498998,0,0.0002975748,40326,0,12,13.540555716,1002.1999598,22297.047309,1.8085802771
