group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,candidate_idx,ok,r2,aicc,nfev,hit_max_nfev,ier,is_stage_best,is_segment_selected,init_new_mu,init_mu_norm
0,-0.5,lost,right,5,69,22,1,0.8961004362357985,-1712.140048731922,15,0,1,0,0,94.0,0.3235294117647059
0,-0.5,lost,right,5,69,23,1,0.8961004362494945,-1712.1400487499814,16,0,1,0,0,95.0,0.3382352941176471
0,-0.5,lost,right,5,69,24,1,0.8961004361966244,-1712.1400486802677,21,0,1,0,0,96.0,0.35294117647058826
0,-0.5,lost,right,5,69,25,1,0.8961004362099366,-1712.140048697821,23,0,1,0,0,97.0,0.36764705882352944
0,-0.5,lost,right,5,69,26,1,0.8961004362139587,-1712.1400487031246,36,0,1,0,0,98.0,0.38235294117647056
0,-0.5,lost,right,5,69,27,1,0.8237133959963955,-1639.7100115298138,123,0,1,0,0,99.0,0.39705882352941174
0,-0.5,lost,right,5,69,28,1,0.8411335415463287,-1653.9644693040773,21,0,1,0,0,100.0,0.4117647058823529
0,-0.5,lost,right,5,69,29,1,0.8411335418410893,-1653.964469558267,18,0,1,0,0,101.0,0.4264705882352941
0,-0.5,lost,right,5,69,30,1,0.8411335412838709,-1653.964469077744,15,0,1,0,0,102.0,0.4411764705882353
0,-0.5,lost,right,5,69,31,1,0.8411335416048613,-1653.9644693545536,21,0,1,0,0,103.0,0.45588235294117646
0,-0.5,lost,right,5,69,32,1,0.841133540401507,-1653.9644683168294,16,0,1,0,0,104.0,0.47058823529411764
0,-0.5,lost,right,5,69,33,1,0.8411335417679819,-1653.9644694952221,15,0,1,0,0,105.0,0.4852941176470588
0,-0.5,lost,right,5,69,34,1,0.8411335416381855,-1653.9644693832909,17,0,1,0,0,106.0,0.5
0,-0.5,lost,right,5,69,35,1,0.8411335397836641,-1653.9644677840267,17,0,1,0,0,107.0,0.5147058823529411
0,-0.5,lost,right,5,69,36,1,0.8237133958518332,-1639.710011417468,45,0,1,0,0,108.0,0.5294117647058824
0,-0.5,lost,right,5,69,37,1,0.8237133937239701,-1639.710009763813,95,0,4,0,0,109.0,0.5441176470588235
0,-0.5,lost,right,5,69,38,1,0.8237133941603481,-1639.7100101029414,65,0,2,0,0,110.0,0.5588235294117647
0,-0.5,lost,right,5,69,39,1,0.8237133941826293,-1639.7100101202573,74,0,2,0,0,111.0,0.5735294117647058
0,-0.5,lost,right,5,69,40,1,0.8237133944341943,-1639.7100103157593,92,0,2,0,0,112.0,0.5882352941176471
0,-0.5,lost,right,5,69,41,1,0.8192864563969978,-1636.3121316204733,7,0,4,0,0,113.0,0.6029411764705882
0,-0.5,lost,right,5,69,42,1,0.8208094053450482,-1637.47158064614,20,0,2,0,0,114.0,0.6176470588235294
0,-0.5,lost,right,5,69,43,1,0.8192864756862623,-1636.312146243779,11,0,4,0,0,115.0,0.6323529411764706
0,-0.5,lost,right,5,69,44,1,0.819288030543074,-1636.3133249950672,28,0,1,0,0,116.0,0.6470588235294118
0,-0.5,lost,right,5,69,45,1,0.8714765481297386,-1683.0019717873633,26,0,1,0,0,117.0,0.6617647058823529
0,-0.5,lost,right,5,69,46,1,0.8237133950050392,-1639.7100107593876,42,0,2,0,0,118.0,0.6764705882352942
0,-0.5,lost,right,5,69,47,1,0.8714765474292484,-1683.0019710406734,23,0,1,0,0,119.0,0.6911764705882353
0,-0.5,lost,right,5,69,48,1,0.8208094055545507,-1637.471580806315,23,0,2,0,0,120.0,0.7058823529411765
0,-0.5,lost,right,5,69,49,1,0.8714765424845903,-1683.0019657698986,39,0,2,0,0,121.0,0.7205882352941176
0,-0.5,lost,right,5,69,50,1,0.871476547693215,-1683.0019713220495,19,0,1,0,0,122.0,0.7352941176470589
0,-0.5,lost,right,5,69,51,1,0.8714765392244104,-1683.0019622946993,35,0,2,0,0,123.0,0.75
0,-0.5,lost,right,5,69,52,1,0.8714764758396728,-1683.0018947295493,23,0,1,0,0,124.0,0.7647058823529411
0,-0.5,lost,right,5,69,53,1,0.8714764460649296,-1683.0018629910844,23,0,1,0,0,125.0,0.7794117647058824
