group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,n_candidates,n_ok,n_hit_max,hit_max_rate_ok,stage_best_r2,coarse_stride2_dr2,coarse_stride3_dr2
10,1.8,lost,left,7,62,62,62,0,0.0,0.9936533999735738,0.0,1.1184211366033203e-05
10,1.8,lost,left,8,62,62,61,0,0.0,0.9956289091214339,5.846556572208783e-11,3.69038133385402e-12
10,1.8,lost,right,2,58,1,0,0,,,,
10,1.8,trapped,left,3,62,1,1,0,0.0,0.9360416206558889,0.0,0.0
10,1.8,trapped,left,4,62,62,62,0,0.0,0.9601895184215747,2.9682922786378185e-12,2.9682922786378185e-12
10,1.8,trapped,left,5,62,62,62,0,0.0,0.9739476442297046,0.0,0.0
10,1.8,trapped,left,6,62,62,62,0,0.0,0.9817487560263902,0.0,4.133582365284383e-12
10,1.8,trapped,left,7,62,62,62,0,0.0,0.985478818523951,0.0,1.1180278924882714e-10
10,1.8,trapped,left,8,62,62,62,0,0.0,0.9887175562854036,2.433075962926523e-11,3.034084095077105e-11
10,1.8,trapped,left,9,62,62,62,0,0.0,0.9903738708129091,0.0,5.639155808978558e-12
10,1.8,trapped,right,2,58,1,1,0,0.0,0.7707924969131591,0.0,0.0
10,1.8,trapped,right,3,58,58,58,0,0.0,0.8894044776495391,0.0,7.813558688951616e-10
10,1.8,trapped,right,4,58,58,58,0,0.0,0.9394038046136833,0.0,0.0
10,1.8,trapped,right,5,58,58,58,0,0.0,0.9466617411834982,2.73101541381493e-11,0.0
10,1.8,trapped,right,6,58,58,58,0,0.0,0.9522600163142482,4.2947867484599556e-12,3.3102409702223667e-12
10,1.8,trapped,right,7,58,58,58,0,0.0,0.9604308454779975,3.386424474172145e-11,0.0
10,1.8,trapped,right,8,58,58,58,0,0.0,0.9646713447585054,0.0,1.2232104218412587e-11
10,1.8,trapped,right,9,58,58,58,0,0.0,0.9661814931185677,9.221066547016044e-05,9.22107345172618e-05
11,2.0,lost,left,3,61,1,1,0,0.0,0.9383367471861743,0.0,0.0
11,2.0,lost,left,4,61,61,61,0,0.0,0.9819197557755422,0.0,3.0115909765981996e-12
11,2.0,lost,left,5,61,61,61,0,0.0,0.9907021331037997,0.0,5.279443549000007e-12
11,2.0,lost,left,6,61,61,61,0,0.0,0.9924659372894725,3.5470515413749126e-12,0.0
11,2.0,lost,left,7,61,61,61,0,0.0,0.9936475575755287,0.0,4.64761562568583e-12
11,2.0,lost,left,8,61,61,61,0,0.0,0.9946352786112196,0.0,0.0
11,2.0,lost,left,9,61,61,61,0,0.0,0.9955521335644643,0.0,4.204214754111035e-11
11,2.0,lost,right,2,59,1,1,0,0.0,0.8662249653793982,0.0,0.0
11,2.0,lost,right,3,59,59,59,0,0.0,0.9477932238513839,0.0,0.0
11,2.0,lost,right,4,59,59,59,0,0.0,0.9699480952905322,0.0,1.2127765458558315e-10
11,2.0,lost,right,5,59,59,59,0,0.0,0.9781140372163311,1.0718870235848499e-11,1.0718870235848499e-11
11,2.0,lost,right,6,59,59,59,0,0.0,0.9814543292274105,3.488986877187017e-12,0.0
11,2.0,lost,right,7,59,59,59,0,0.0,0.9838101653410942,0.0,0.00035564072758231813
11,2.0,lost,right,8,59,59,59,0,0.0,0.9891649590934467,0.0,4.3168468799592574e-11
11,2.0,lost,right,9,59,59,59,0,0.0,0.9917559568644561,0.0,0.0011590700896680906
11,2.0,trapped,left,3,61,1,1,0,0.0,0.9115091156261937,0.0,0.0
11,2.0,trapped,left,4,61,61,61,0,0.0,0.9697935194211472,0.0,0.0
11,2.0,trapped,left,5,61,61,61,0,0.0,0.9837807941268361,1.538147387236677e-11,3.0841773579481924e-11
11,2.0,trapped,left,6,61,61,61,0,0.0,0.986615682849455,0.0,4.123991340976296e-06
11,2.0,trapped,left,7,61,61,61,0,0.0,0.9881735260418325,0.0,0.0
11,2.0,trapped,left,8,61,61,61,0,0.0,0.9900205173036032,0.0,0.0017298446405893397
11,2.0,trapped,left,9,61,61,61,0,0.0,0.990293779110504,0.0,0.00017076087062539713
11,2.0,trapped,right,2,59,1,1,0,0.0,0.8597034225110026,0.0,0.0
11,2.0,trapped,right,3,59,59,59,0,0.0,0.9265625024870309,3.4006131244268545e-12,0.0
