Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.15,0.05,-0.0349999999999999,1200,12000,11.832,0.021423330887747616,0.019809244314013204,6815,146,135,21.817959785461426
-0.25,-0.05,0.0849999999999999,1200,12000,11.836,0.007901668129938543,0.001755926251097454,6834,54,12,21.869457244873047
-0.25,-0.05,0.0849999999999999,1000,10000,11.834,0.013281388347795289,0.0019479369576766426,5647,75,11,16.526374340057373
-0.25,-0.05,0.0849999999999999,1500,16000,11.833,0.004068958132562373,0.0013920119927187066,9339,38,13,33.1901478767395
-0.25,-0.05,0.0849999999999999,1800,20000,11.831,0.00149812734082397,0.0024136496046608404,12015,18,29,47.1446750164032
-0.25,-0.05,0.0849999999999999,300,5000,11.831,0.07521938988717092,0.001671541997492687,2393,180,4,5.534666538238525
-0.25,-0.05,0.0849999999999999,500,6000,11.832,0.047323759791122716,0.0022845953002610967,3064,145,7,7.527076005935669
-0.25,-0.05,0.0849999999999999,800,8000,11.834,0.017372679676344597,0.0033317467872441696,4202,73,14,11.946250915527344
-0.25,-0.05,0.0849999999999999,600,7000,11.833,0.033202025886325266,0.0028137310073157004,3554,118,10,9.205957889556885
-0.2,0.0,0.025,800,8000,11.836,0.05407619827939369,0.010241704219582138,4882,264,50,11.947425603866577
-0.2,0.0,0.025,1500,16000,11.831,0.01818526236029551,0.012218223148323546,10558,192,129,33.26720881462097
-0.2,0.0,0.025,1000,10000,11.832,0.04117079446767449,0.010775168864586683,6218,256,67,16.49064064025879
-0.2,0.0,0.025,300,5000,11.833,0.10631466286122013,0.009989297181591153,2803,298,28,5.696929931640625
-0.2,0.0,0.025,500,6000,11.829,0.0898910411622276,0.009382566585956417,3304,297,31,7.631449222564697
-0.2,0.0,0.025,1800,20000,11.829,0.009761467889908258,0.01071559633027523,13625,133,146,46.967840909957886
-0.2,0.0,0.025,600,7000,11.82,0.07475943745373798,0.015050579817419196,4053,303,61,9.34518313407898
-0.2,0.0,0.025,1200,12000,11.82,0.02750032429627708,0.01167466597483461,7709,212,90,21.779558420181274
-0.15,0.05,-0.0349999999999999,500,6000,11.82,0.08215962441314555,0.019114688128772636,2982,245,57,7.646918058395386
-0.15,0.05,-0.0349999999999999,1800,20000,11.82,0.0041059158706217526,0.018183341712753476,11934,49,217,47.092159032821655
-0.15,0.05,-0.0349999999999999,800,8000,11.825,0.04653909756673754,0.01842664776754075,4233,197,78,11.828973531723022
-0.15,0.05,-0.0349999999999999,300,5000,11.818,0.10587226746678097,0.019717102443206173,2333,247,46,5.565450668334961
-0.15,0.05,-0.0349999999999999,1500,16000,11.821,0.010882448012067666,0.017562762633336924,9281,101,163,33.274675369262695
-0.15,0.05,-0.0349999999999999,600,7000,11.824,0.06828316610925307,0.018673355629877368,3588,245,67,9.195868253707886
-0.15,0.05,-0.0349999999999999,1000,10000,11.82,0.033534909290819134,0.016675829210188748,5457,183,91,16.440555572509766
-0.15,0.05,-0.0349999999999999,1200,12000,11.822,0.01932436301173776,0.01975379330088749,6986,135,138,21.857130765914917
-0.2834015884999999,0.0,0.025,1000,10000,11.822,0.029986291980808773,0.0018848526387936944,5836,175,11,16.466865301132202
-0.2834015884999999,0.0,0.025,300,5000,11.82,0.09291338582677165,0.0027559055118110236,2540,236,7,5.422244071960449
