Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2834015884999999,0.0,0.025,1800,20000,11.82,0.004053731817820523,0.0022255782529210714,12581,51,28,47.11120629310608
-0.2834015884999999,0.0,0.025,600,7000,11.821,0.05100983946141895,0.002330398757120663,3862,197,9,9.333100318908691
-0.2834015884999999,0.0,0.025,800,8000,11.82,0.03888268156424581,0.002458100558659218,4475,174,11,11.989003419876099
-0.2834015884999999,0.0,0.025,1500,16000,11.817,0.008739837398373983,0.0012195121951219512,9840,86,12,33.155935764312744
-0.2834015884999999,0.0,0.025,500,6000,11.82,0.06096393233322694,0.004149377593360996,3133,191,13,7.641406297683716
-0.2834015884999999,0.0,0.025,1200,12000,11.82,0.017106883810045163,0.0013685507048036129,7307,125,10,21.7478289604187
-0.2,0.0,0.025,1500,16000,11.817,0.017205909855994014,0.01019263138208341,10694,184,109,33.200371742248535
-0.2,0.0,0.025,600,7000,11.817,0.07811330172198652,0.01197903668579985,4007,313,48,9.226643800735474
-0.2,0.0,0.025,1000,10000,11.817,0.03996101364522417,0.01332033788174139,6156,246,82,16.55998730659485
-0.2,0.0,0.025,1800,20000,11.817,0.009391435011269721,0.009767092411720512,13310,125,130,46.9801983833313
-0.2,0.0,0.025,800,8000,11.82,0.05384449709239716,0.009476631488261899,4643,250,44,11.964454174041748
-0.2,0.0,0.025,1200,12000,11.82,0.0289229158487109,0.011124198403350346,7641,221,85,21.865518808364868
-0.2,0.0,0.025,500,6000,11.817,0.09243945658594212,0.01004134672179563,3386,313,34,7.644067764282227
-0.2,0.0,0.025,300,5000,11.818,0.10957910014513789,0.011973875181422351,2756,302,33,5.736689329147339
-0.25,0.05,0.0849999999999999,1000,10000,11.817,0.02580128205128205,0.002403846153846154,6240,161,15,16.4988751411438
-0.25,0.05,0.0849999999999999,1500,16000,11.814,0.009443762394938143,0.0022665029747851546,10589,100,24,33.14936017990112
-0.25,0.05,0.0849999999999999,500,6000,11.82,0.06811421772754313,0.00297441998810232,3362,229,10,7.576418161392212
-0.25,0.05,0.0849999999999999,800,8000,11.816,0.03875349580503396,0.0029964043148222133,5006,194,15,11.943014860153198
-0.25,0.05,0.0849999999999999,1200,12000,11.818,0.017043976060369503,0.0032526671870934166,7686,131,25,21.84978723526001
-0.25,0.05,0.0849999999999999,300,5000,11.818,0.10643840714551545,0.005210271678451805,2687,286,14,5.603220224380493
-0.25,0.05,0.0849999999999999,1800,20000,11.82,0.00486671024914651,0.0029781361226120435,13767,67,41,47.05172848701477
-0.25,0.05,0.0849999999999999,600,7000,11.83,0.06380881990638088,0.003202759300320276,4059,259,13,9.369590759277344
-0.2,0.0,0.025,300,5000,11.826,0.11303041682313181,0.01464513706346226,2663,301,39,5.700817108154297
-0.2,0.0,0.025,1500,16000,11.83,0.017793594306049824,0.010387611811099356,10397,185,108,33.26442503929138
-0.2,0.0,0.025,800,8000,11.83,0.05832471561530507,0.010134436401240952,4835,282,49,11.97965145111084
-0.2,0.0,0.025,1200,12000,11.828,0.03198097000132153,0.011893749174045197,7567,242,90,21.784780263900757
-0.2,0.0,0.025,500,6000,11.828,0.08345491683688357,0.010213014298220018,3427,286,35,7.5645856857299805
-0.2,0.0,0.025,1800,20000,11.826,0.010994803825589277,0.00963928006627005,13279,146,128,47.105496406555176
-0.2,0.0,0.025,600,7000,11.826,0.08073905340420147,0.012401923563654771,3951,319,49,9.369162559509277
-0.2,0.0,0.025,1000,10000,11.826,0.04390866996646974,0.007504390866996647,6263,275,47,16.38489866256714
-0.25,0.05,-0.0349999999999999,300,5000,11.83,0.12801575578532742,0.0034465780403741997,2031,260,7,5.631696701049805
-0.25,0.05,-0.0349999999999999,800,8000,11.83,0.047972587093089665,0.0019988577955454027,3502,168,7,11.969429016113281
-0.25,0.05,-0.0349999999999999,500,6000,11.83,0.08647619047619047,0.0019047619047619048,2625,227,5,7.664169549942017
-0.25,0.05,-0.0349999999999999,1800,20000,11.829,0.005108556832694764,0.002357795461243737,10179,52,24,47.15561556816101
-0.25,0.05,-0.0349999999999999,600,7000,11.833,0.058437294812869335,0.002954694681549573,3046,178,9,9.314478635787964
-0.25,0.05,-0.0349999999999999,1000,10000,11.83,0.0293482952093224,0.0043159257660768235,4634,136,20,16.400716543197632
-0.25,0.05,-0.0349999999999999,1200,12000,11.831,0.019469026548672566,0.004424778761061947,5650,110,25,21.87618064880371
-0.25,0.05,-0.0349999999999999,1500,16000,11.828,0.009304729904368054,0.003230808994572241,7738,72,25,33.27939200401306
-0.2,0.0,0.025,800,8000,11.826,0.06345123258306538,0.00964630225080386,4665,296,45,11.953428745269775
-0.2,0.0,0.025,500,6000,11.828,0.0959723096286973,0.015418502202643172,3178,305,49,7.6907243728637695
-0.2,0.0,0.025,1000,10000,11.824,0.04357950765136394,0.011310711909514305,6012,262,68,16.446009874343872
-0.2,0.0,0.025,1500,16000,11.828,0.019921875,0.01171875,10240,204,120,33.23479461669922
-0.2,0.0,0.025,1800,20000,11.825,0.010476043752888615,0.00993683561854876,12982,136,129,47.05371618270874
-0.2,0.0,0.025,1200,12000,11.824,0.028247060413569402,0.011352885525070956,7399,209,84,21.830283403396606
-0.2,0.0,0.025,300,5000,11.825,0.10909777274443186,0.007550018875047188,2649,289,20,5.696776390075684
-0.2,0.0,0.025,600,7000,11.828,0.09024326445200105,0.012555584619408842,3823,345,48,9.394198179244995
-0.15,-0.05,0.0849999999999999,800,8000,11.829,0.03678789152827412,0.011982341812066429,4757,175,57,11.905717134475708
-0.15,-0.05,0.0849999999999999,1800,20000,11.825,0.003895422878118211,0.01385871600868979,13349,52,185,47.05894160270691
-0.15,-0.05,0.0849999999999999,1200,12000,11.824,0.014631550944400107,0.014631550944400107,7518,110,110,21.694813013076782
-0.15,-0.05,0.0849999999999999,500,6000,11.825,0.054500918554807105,0.012553582363747704,3266,178,41,7.647101402282715
-0.15,-0.05,0.0849999999999999,1000,10000,11.826,0.027626137303556658,0.014392059553349877,6045,167,87,16.4708411693573
-0.15,-0.05,0.0849999999999999,300,5000,11.806,0.08374198415692191,0.01923802338740098,2651,222,51,5.71590256690979
-0.15,-0.05,0.0849999999999999,600,7000,11.804,0.0485,0.01425,4000,194,57,9.35910677909851
-0.15,-0.05,0.0849999999999999,1500,16000,11.802,0.009312048650703154,0.014158114785252756,10524,98,149,33.212780237197876
-0.2,0.0,0.025,1000,10000,11.804,0.040897755610972565,0.010473815461346634,6015,246,63,16.40225338935852
-0.2,0.0,0.025,1800,20000,11.808,0.008873514814257783,0.009174311926605505,13298,118,122,47.091641664505005
-0.2,0.0,0.025,1500,16000,11.807,0.01848625629113434,0.009678668215253582,10332,191,100,33.34958338737488
-0.2,0.0,0.025,300,5000,11.806,0.106810569408262,0.007815407517677708,2687,287,21,5.662290811538696
-0.2,0.0,0.025,500,6000,11.804,0.08853708589856348,0.009967751392553504,3411,302,34,7.657094478607178
-0.2,0.0,0.025,1200,12000,11.806,0.03099854900408917,0.00976124521830893,7581,235,74,21.903719902038574
-0.2,0.0,0.025,800,8000,11.81,0.05535524920466596,0.011240721102863203,4715,261,53,12.07858943939209
-0.2,0.0,0.025,600,7000,11.806,0.08102401689100026,0.010820797044074954,3789,307,41,9.358779907226562
-0.15,-0.05,-0.0349999999999999,800,8000,11.807,0.03436673876472002,0.012977649603460706,4161,143,54,11.94788646697998
-0.15,-0.05,-0.0349999999999999,600,7000,11.81,0.051647373107747106,0.015731671119026416,3369,174,53,9.452345848083496
-0.15,-0.05,-0.0349999999999999,300,5000,11.811,0.08934707903780069,0.013745704467353952,2328,208,32,5.692858934402466
-0.15,-0.05,-0.0349999999999999,1500,16000,11.808,0.009158115414321969,0.013350987531722388,9063,83,121,33.2104287147522
